customer_id,customer_type,signup_date,issue,order_id,order_date,order_amount
1003,,,orphaned_order,54397.0,2024-05-17,28.07
1011,,,orphaned_order,54556.0,2024-05-22,90.43
1009,,,orphaned_order,54655.0,2024-05-25,20.17
1004,,,orphaned_order,54682.0,2024-05-26,164.7
1012,,,orphaned_order,54692.0,2024-05-26,73.57
1007,,,orphaned_order,54724.0,2024-05-27,237.52
1016,,,orphaned_order,54759.0,2024-05-28,98.96
1001,,,orphaned_order,54778.0,2024-05-29,419.22
1020,,,orphaned_order,54863.0,2024-05-31,54.54
1006,,,orphaned_order,54875.0,2024-06-01,48.3
