customer_id,transaction_count,annual_revenue
201,9,1298.13
141,9,1297.73
727,5,1297.09
226,5,1292.01
13,9,1288.5
375,8,1284.25
412,7,1277.42
349,5,1272.37
790,7,1261.46
6,5,1260.83
451,8,1259.44
82,6,1254.9
39,6,1249.97
644,5,1245.24
587,6,1240.79
391,6,1235.39
621,7,1232.77
787,8,1232.76
555,5,1226.31
477,4,1224.24
557,7,1223.9
214,7,1223.86
612,6,1223.08
637,3,1220.53
672,5,1220.13
645,7,1216.47
441,9,1216.37
679,7,1216.11
653,7,1211.93
537,6,1211.36
550,7,1209.24
245,8,1206.3
476,7,1203.64
722,6,1201.84
519,6,1201.16
147,8,1199.0
289,6,1195.76
618,10,1194.87
278,8,1193.96
579,5,1193.88
824,6,1192.73
345,7,1191.28
845,6,1191.18
761,6,1190.1
200,3,1188.51
419,7,1180.38
185,6,1180.02
225,5,1178.5
189,5,1177.11
335,5,1176.0
384,9,1172.05
399,7,1171.67
566,7,1171.44
536,6,1167.97
227,8,1163.93
294,8,1162.79
514,7,1161.54
544,7,1159.04
79,6,1158.15
493,5,1157.99
184,6,1156.43
334,4,1155.02
836,7,1151.03
122,6,1149.09
422,5,1148.83
630,7,1147.59
327,8,1147.48
595,4,1147.2
454,5,1145.87
613,6,1144.93
274,5,1144.21
181,6,1140.25
598,9,1139.2
405,7,1132.34
456,5,1131.64
261,5,1130.5
453,6,1128.74
449,6,1128.65
28,4,1127.98
191,8,1121.64
171,8,1120.87
840,6,1120.16
20,6,1118.87
445,7,1118.3
83,6,1118.21
563,8,1117.53
631,6,1109.21
433,4,1108.57
634,6,1108.16
890,8,1107.6
899,7,1106.61
665,6,1105.13
702,7,1103.46
649,6,1101.94
93,9,1101.81
382,6,1101.04
894,3,1101.01
366,8,1099.77
743,4,1097.63
290,5,1096.48
344,5,1089.95
888,5,1085.38
652,4,1085.3
354,7,1085.28
870,5,1083.1
437,5,1082.34
144,7,1079.17
296,7,1077.01
500,8,1074.79
825,12,1074.09
690,3,1070.32
404,5,1069.12
871,7,1068.93
68,7,1065.98
207,7,1064.97
308,4,1062.62
547,7,1058.74
436,4,1056.39
640,4,1056.17
869,7,1055.12
463,5,1053.22
712,4,1050.6
162,7,1048.72
102,6,1040.24
206,7,1040.03
530,9,1039.95
457,6,1039.78
708,4,1039.49
614,5,1038.38
105,4,1030.98
65,8,1029.38
734,6,1028.49
49,6,1028.25
183,9,1025.48
776,8,1023.44
1,7,1019.2
572,4,1018.26
1007,4,1014.22
844,6,1013.64
483,8,1011.68
187,7,1009.98
828,6,1009.59
116,6,1006.35
601,7,1004.17
193,7,999.41
615,6,998.14
486,5,997.13
804,7,993.94
58,5,989.14
795,6,989.01
381,7,989.01
333,5,988.26
517,6,987.82
728,9,987.76
269,7,983.38
584,6,980.4
638,6,977.75
848,6,973.64
90,6,973.42
257,2,973.33
440,5,971.46
897,6,971.26
204,5,963.91
607,9,961.06
305,5,959.59
799,5,957.56
639,7,956.47
670,7,955.72
674,7,955.4
646,7,954.68
534,6,951.61
413,4,948.74
736,6,947.48
137,8,945.93
465,7,936.8
168,5,935.74
431,5,935.46
661,9,934.79
822,8,934.51
197,5,933.25
819,5,928.59
140,5,928.32
117,4,927.59
716,4,925.1
293,3,924.31
286,3,922.78
742,5,917.89
718,5,917.16
276,7,913.15
779,6,913.02
703,5,912.68
596,9,912.28
356,4,911.56
580,5,908.93
265,7,906.84
489,6,906.79
85,4,904.17
199,5,903.3
502,4,902.58
179,6,901.24
331,8,900.69
212,5,898.54
173,6,896.34
541,5,896.32
98,4,896.15
503,5,895.46
875,5,895.08
495,6,893.97
38,4,892.58
407,5,891.28
287,6,889.54
700,6,888.1
711,2,887.77
414,7,887.02
749,7,885.7
180,3,883.59
361,5,883.41
669,4,883.24
748,5,882.39
403,4,882.31
864,8,878.94
680,5,878.14
368,5,876.97
738,5,875.06
715,3,874.89
232,5,871.73
886,6,871.48
1001,3,870.16
291,4,869.59
704,5,868.62
442,5,865.3
446,5,864.66
834,6,863.43
420,7,862.59
474,5,860.12
501,3,859.76
222,5,859.32
675,8,859.16
50,7,858.65
88,7,858.07
821,5,856.28
358,5,856.1
315,6,853.17
97,3,843.8
190,5,842.85
806,5,842.43
428,6,841.62
321,4,840.31
686,4,839.36
155,7,838.64
784,4,836.26
145,2,834.84
508,7,826.53
497,3,826.08
84,5,825.86
218,6,824.32
3,4,813.32
521,3,813.31
432,6,809.2
831,6,805.64
455,5,804.6
895,6,803.72
23,4,800.1
851,5,798.66
435,7,796.4
186,3,795.47
810,6,790.37
529,6,790.21
467,7,789.05
807,7,788.85
256,6,788.09
523,5,785.32
170,4,785.17
603,4,783.94
624,4,780.38
554,6,778.33
272,4,778.31
40,5,777.94
15,4,776.07
397,3,773.0
515,7,772.14
124,8,771.87
332,5,768.43
462,4,767.85
299,4,767.38
136,5,765.7
317,5,764.93
237,8,760.82
791,8,758.22
551,7,757.31
213,5,754.9
426,6,754.25
228,6,752.93
429,8,752.61
589,6,751.06
698,7,750.98
217,6,750.98
409,4,750.79
663,6,748.49
460,3,743.37
100,4,740.9
379,4,739.86
723,2,736.56
250,5,735.86
54,6,735.3
852,7,731.76
219,2,730.67
59,7,730.06
710,3,729.4
127,7,728.15
178,5,727.91
687,6,727.2
681,7,723.75
351,3,723.33
131,4,722.34
26,5,722.16
556,4,721.2
324,5,720.2
788,4,719.51
696,6,717.27
629,6,716.28
865,4,714.8
768,7,713.74
322,4,712.64
678,5,712.63
163,6,711.49
610,8,708.97
275,4,706.8
146,4,705.75
893,3,704.61
236,4,701.81
657,4,701.65
295,4,699.64
770,6,698.73
512,2,697.82
238,4,694.3
215,5,692.22
721,8,687.99
468,5,687.46
336,5,685.47
69,6,683.51
292,2,683.19
507,4,683.06
318,4,682.4
759,5,681.88
741,3,679.9
10,6,677.91
408,6,677.19
732,6,677.15
423,3,676.3
273,10,675.97
370,5,675.49
626,5,675.48
532,5,672.96
861,4,672.17
492,6,670.49
48,5,670.41
677,4,666.09
574,5,664.8
867,4,662.8
281,5,662.74
744,4,661.68
746,3,661.38
656,4,660.74
248,6,659.95
132,6,659.18
611,8,654.52
892,5,653.58
709,7,651.39
509,7,650.77
740,4,649.15
878,5,648.13
752,5,648.04
153,4,647.78
586,5,647.3
767,4,647.22
797,5,645.85
683,4,645.77
567,7,644.95
765,3,643.03
668,4,642.87
737,5,642.25
35,6,641.19
780,6,640.26
338,5,639.91
270,4,639.26
348,6,638.66
350,5,638.41
608,6,637.02
562,3,636.78
830,7,636.48
242,3,636.3
263,3,634.48
729,5,633.7
714,5,627.27
246,5,626.41
262,5,624.72
241,3,624.72
754,6,623.87
17,6,622.67
794,6,622.49
511,6,622.15
142,4,620.51
108,5,620.45
796,6,616.14
425,5,616.06
341,4,612.61
41,7,611.52
479,3,610.18
553,5,610.17
647,3,608.94
604,5,607.42
701,5,604.86
482,3,604.58
398,3,602.43
62,3,601.76
735,5,600.34
198,4,599.59
760,6,597.68
106,4,596.43
458,4,595.65
311,4,595.65
415,3,595.23
778,6,594.09
7,5,593.93
498,3,592.8
362,4,592.67
843,3,591.67
733,6,591.37
617,2,590.66
357,4,589.19
756,5,588.86
138,6,585.85
755,3,585.29
725,4,584.62
814,4,584.3
838,3,582.73
203,6,580.52
36,2,578.46
478,2,578.09
866,5,576.23
1016,5,574.68
160,4,568.46
676,4,568.05
548,3,566.29
472,3,566.24
853,7,563.63
475,3,562.31
808,5,561.2
781,6,559.94
86,4,559.44
176,2,556.87
301,4,556.7
1013,2,556.53
632,5,553.4
115,3,553.37
692,5,552.24
64,5,550.42
633,3,549.5
159,4,548.9
673,5,547.39
762,4,547.17
252,4,546.54
320,4,544.79
91,4,544.75
363,5,544.41
854,4,544.37
143,5,540.76
771,5,539.53
221,5,538.52
63,5,535.73
793,4,530.79
764,3,530.38
239,6,530.25
846,7,526.68
817,8,525.58
506,3,522.39
516,6,520.99
342,3,515.22
309,3,511.89
896,3,510.18
590,3,506.26
4,3,505.06
74,5,503.43
297,2,503.0
531,2,500.05
29,4,499.65
47,5,498.69
123,4,497.39
747,3,497.25
372,3,497.19
229,3,496.37
827,5,496.06
1006,4,494.07
577,3,486.06
525,6,484.8
267,5,484.15
654,4,482.35
667,3,476.32
570,5,475.61
769,3,475.53
14,4,474.8
340,7,471.65
1009,3,470.35
518,4,470.11
126,5,468.31
616,5,467.91
648,4,465.0
208,4,463.77
444,6,462.43
110,2,460.47
259,2,460.26
254,4,457.5
56,4,456.94
393,4,455.2
45,6,453.47
234,4,452.95
568,5,448.95
30,5,447.8
71,4,446.62
524,4,446.02
803,4,445.77
70,5,445.28
135,4,445.13
316,3,443.91
31,5,443.58
857,4,442.5
801,1,441.15
473,2,439.78
600,3,439.1
789,3,438.6
280,2,436.15
304,7,434.54
60,3,433.79
418,2,433.64
487,6,433.61
693,7,430.98
205,4,428.46
244,2,427.4
172,4,421.83
1019,2,420.98
169,3,420.43
258,3,418.97
642,2,418.93
77,3,417.64
306,2,414.53
282,4,413.5
581,4,412.73
713,4,410.21
526,4,409.76
230,4,408.31
863,4,407.01
591,4,402.01
724,3,400.45
5,4,399.73
284,4,399.11
876,7,398.25
461,3,397.72
841,4,395.99
279,3,395.58
385,4,394.4
671,2,389.47
53,5,388.73
392,3,387.85
243,2,387.1
565,3,386.45
253,4,385.32
739,3,384.66
898,4,383.41
655,5,381.11
120,3,379.15
599,5,378.95
16,4,373.8
635,3,373.66
792,4,370.99
95,2,370.2
11,2,370.15
32,2,365.69
1008,2,365.42
216,3,363.96
89,4,362.44
496,6,359.89
522,2,359.48
885,4,358.16
150,3,356.67
786,2,356.31
167,1,354.83
377,5,351.26
466,3,348.66
266,4,348.64
773,2,348.45
410,2,348.38
484,2,347.26
527,3,346.47
365,3,346.34
1014,2,346.15
148,5,344.63
249,3,343.93
264,3,343.33
625,4,342.86
271,5,336.04
552,2,335.72
575,5,334.9
18,2,334.81
879,3,334.66
1011,3,334.14
882,3,334.1
57,3,331.49
682,3,329.44
107,3,328.81
576,4,326.31
546,4,325.68
823,1,323.34
750,4,322.69
880,5,322.24
78,3,321.77
641,2,321.47
21,3,321.3
883,6,317.49
447,4,317.06
815,3,316.95
330,4,313.1
310,4,312.71
52,3,312.19
323,3,311.16
592,2,311.04
386,4,308.28
430,1,306.29
1017,2,305.87
623,5,305.01
643,1,304.18
99,4,303.8
411,2,301.88
1005,2,301.25
81,2,298.32
67,2,295.04
406,6,293.87
826,3,290.83
583,4,288.89
347,3,287.93
130,3,281.11
374,2,280.75
706,1,280.5
329,3,273.52
55,2,273.42
300,2,273.37
798,3,269.62
194,6,269.34
326,4,267.64
847,3,262.1
636,3,259.95
448,4,254.76
352,4,253.39
121,2,250.52
569,4,249.36
469,3,248.28
9,2,247.53
61,3,246.89
695,3,245.86
157,2,244.79
860,3,236.7
757,2,234.36
839,2,234.15
359,3,233.25
165,4,230.32
396,3,230.1
811,4,228.47
46,2,226.15
766,4,226.09
1010,1,220.48
805,3,220.38
319,4,218.21
325,4,214.93
745,2,210.08
42,3,203.29
119,4,202.19
707,2,201.53
103,3,200.5
842,3,199.31
298,3,191.84
417,3,191.82
328,3,190.46
196,3,186.13
782,3,183.58
627,2,181.57
353,2,180.89
594,2,180.55
307,3,180.46
684,1,180.36
373,1,180.04
1003,4,177.52
873,4,175.24
538,3,173.11
240,1,167.56
719,2,167.05
92,3,165.2
578,1,164.77
94,2,157.58
1018,2,155.58
774,2,148.74
464,2,148.11
151,3,132.75
394,1,127.79
1020,2,127.4
717,2,121.14
513,2,119.99
777,2,113.35
689,2,113.26
231,2,111.81
37,1,110.38
609,1,109.73
535,1,99.77
874,2,98.73
818,3,95.68
829,2,94.07
152,1,90.86
470,1,89.36
543,2,83.72
1004,1,75.76
1012,1,73.57
809,1,72.46
402,2,70.45
158,1,64.78
585,1,59.44
27,3,58.84
174,1,48.48
705,1,39.83
1002,1,39.76
816,1,30.79
775,1,25.12
389,1,23.69
34,1,20.88
