aggregation_date,total_revenue,order_count,average_order_value,updated_at
2024-04-12,4454.45,29,153.6,2026-09-06 20:09:36
2024-04-11,4302.17,28,153.65,2026-09-06 20:09:36
2024-04-10,2702.07,26,103.93,2026-09-06 20:09:36
2024-04-09,3775.6,27,139.84,2026-09-06 20:09:36
2024-04-08,5167.07,27,191.37,2026-09-06 20:09:36
2024-04-07,4091.45,28,146.12,2026-09-06 20:09:36
2024-04-06,3667.85,26,141.07,2026-09-06 20:09:36
2024-04-05,5864.25,29,202.22,2026-09-06 20:09:36
2024-04-04,3386.96,26,130.27,2026-09-06 20:09:36
2024-04-03,4374.93,26,168.27,2026-09-06 20:09:36
2024-04-02,4506.11,28,160.93,2026-09-06 20:09:36
2024-04-01,4089.17,28,146.04,2026-09-06 20:09:36
2024-03-31,4288.81,24,178.7,2026-09-06 20:09:36
2024-03-30,4793.02,27,177.52,2026-09-06 20:09:36
2024-03-29,3921.6,29,135.23,2026-09-06 20:09:36
2024-03-28,3606.52,27,133.57,2026-09-06 20:09:36
2024-03-27,6362.71,29,219.4,2026-09-06 20:09:36
2024-03-26,3503.56,24,145.98,2026-09-06 20:09:36
2024-03-25,3327.82,26,127.99,2026-09-06 20:09:36
2024-03-24,5087.62,29,175.44,2026-09-06 20:09:36
2024-03-23,4806.45,28,171.66,2026-09-06 20:09:36
2024-03-22,5055.87,26,194.46,2026-09-06 20:09:36
2024-03-21,3849.86,29,132.75,2026-09-06 20:09:36
2024-03-20,6314.89,29,217.75,2026-09-06 20:09:36
2024-03-19,4332.39,28,154.73,2026-09-06 20:09:36
2024-03-18,4012.56,26,154.33,2026-09-06 20:09:36
2024-03-17,4082.4,28,145.8,2026-09-06 20:09:36
2024-03-16,4886.37,26,187.94,2026-09-06 20:09:36
2024-03-15,4628.76,28,165.31,2026-09-06 20:09:36
2024-03-14,3198.64,26,123.02,2026-09-06 20:09:36
2024-03-13,4323.29,28,154.4,2026-09-06 20:09:36
2024-03-12,3934.46,27,145.72,2026-09-06 20:09:36
2024-03-11,4268.88,28,152.46,2026-09-06 20:09:36
2024-03-10,3978.44,26,153.02,2026-09-06 20:09:36
2024-03-09,3860.75,24,160.86,2026-09-06 20:09:36
2024-03-08,4403.8,28,157.28,2026-09-06 20:09:36
2024-03-07,3251.87,26,125.07,2026-09-06 20:09:36
2024-03-06,3608.41,24,150.35,2026-09-06 20:09:36
2024-03-05,4925.98,31,158.9,2026-09-06 20:09:36
2024-03-04,3750.84,28,133.96,2026-09-06 20:09:36
2024-03-03,5379.93,28,192.14,2026-09-06 20:09:36
2024-03-02,3840.75,27,142.25,2026-09-06 20:09:36
2024-03-01,5969.14,27,221.08,2026-09-06 20:09:36
2024-02-29,3826.43,22,173.93,2026-09-06 20:09:36
2024-02-28,4641.14,26,178.51,2026-09-06 20:09:36
2024-02-27,3663.18,28,130.83,2026-09-06 20:09:36
2024-02-26,4617.0,29,159.21,2026-09-06 20:09:36
2024-02-25,4190.33,27,155.2,2026-09-06 20:09:36
2024-02-24,3659.96,24,152.5,2026-09-06 20:09:36
2024-02-23,5157.36,29,177.84,2026-09-06 20:09:36
2024-02-22,4509.9,26,173.46,2026-09-06 20:09:36
2024-02-21,4152.81,26,159.72,2026-09-06 20:09:36
2024-02-20,4854.64,25,194.19,2026-09-06 20:09:36
2024-02-19,3827.25,26,147.2,2026-09-06 20:09:36
2024-02-18,6100.9,28,217.89,2026-09-06 20:09:36
2024-02-17,4511.57,28,161.13,2026-09-06 20:09:36
2024-02-16,5326.84,26,204.88,2026-09-06 20:09:36
2024-02-15,3029.0,27,112.19,2026-09-06 20:09:36
2024-02-14,3792.85,25,151.71,2026-09-06 20:09:36
2024-02-13,3914.97,25,156.6,2026-09-06 20:09:36
2024-02-12,4143.32,27,153.46,2026-09-06 20:09:36
2024-02-11,4032.06,26,155.08,2026-09-06 20:09:36
2024-02-10,6323.58,27,234.21,2026-09-06 20:09:36
2024-02-09,3890.46,26,149.63,2026-09-06 20:09:36
2024-02-08,4253.33,28,151.9,2026-09-06 20:09:36
2024-02-07,3631.83,28,129.71,2026-09-06 20:09:36
2024-02-06,4664.3,25,186.57,2026-09-06 20:09:36
2024-02-05,2966.29,25,118.65,2026-09-06 20:09:36
2024-02-04,5683.23,27,210.49,2026-09-06 20:09:36
2024-02-03,4418.82,31,142.54,2026-09-06 20:09:36
2024-02-02,4278.26,27,158.45,2026-09-06 20:09:36
2024-02-01,3829.91,29,132.07,2026-09-06 20:09:36
2024-01-31,5222.1,26,200.85,2026-09-06 20:09:36
2024-01-30,6536.67,30,217.89,2026-09-06 20:09:36
2024-01-29,4341.96,26,167.0,2026-09-06 20:09:36
2024-01-28,3355.5,26,129.06,2026-09-06 20:09:36
2024-01-27,4317.55,27,159.91,2026-09-06 20:09:36
2024-01-26,3235.14,26,124.43,2026-09-06 20:09:36
2024-01-25,5019.41,29,173.08,2026-09-06 20:09:36
2024-01-24,4925.84,30,164.19,2026-09-06 20:09:36
2024-01-23,6594.18,29,227.39,2026-09-06 20:09:36
2024-01-22,3978.54,29,137.19,2026-09-06 20:09:36
2024-01-21,4460.76,28,159.31,2026-09-06 20:09:36
2024-01-20,4553.77,29,157.03,2026-09-06 20:09:36
2024-01-19,4545.12,25,181.8,2026-09-06 20:09:36
2024-01-18,4047.68,31,130.57,2026-09-06 20:09:36
2024-01-17,5783.21,29,199.42,2026-09-06 20:09:36
2024-01-16,3891.21,27,144.12,2026-09-06 20:09:36
2024-01-15,2921.37,25,116.85,2026-09-06 20:09:36
2024-01-14,2995.59,27,110.95,2026-09-06 20:09:36
2024-01-13,4317.03,28,154.18,2026-09-06 20:09:36
2024-01-12,4374.36,24,182.26,2026-09-06 20:09:36
2024-01-11,5441.78,26,209.3,2026-09-06 20:09:36
2024-01-10,5198.23,27,192.53,2026-09-06 20:09:36
2024-01-09,4016.9,23,174.65,2026-09-06 20:09:36
2024-01-08,3968.17,25,158.73,2026-09-06 20:09:36
2024-01-07,5504.85,25,220.19,2026-09-06 20:09:36
2024-01-06,3360.38,20,168.02,2026-09-06 20:09:36
2024-01-05,4040.45,25,161.62,2026-09-06 20:09:36
2024-01-04,6007.47,32,187.73,2026-09-06 20:09:36
2024-01-03,5211.21,29,179.7,2026-09-06 20:09:36
2024-01-02,4749.43,28,169.62,2026-09-06 20:09:36
2024-01-01,6104.97,26,234.81,2026-09-06 20:09:36
