order_id,customer_id,order_amount,order_status,order_date
50062,673,81.09,completed,2024-01-02
50063,657,283.01,completed,2024-01-02
50064,758,300.35,completed,2024-01-02
50065,610,97.73,shipped,2024-01-03
50066,45,25.32,pending,2024-01-03
50067,516,15.24,completed,2024-01-03
50068,863,126.13,cancelled,2024-01-03
50069,694,78.26,completed,2024-01-03
50070,125,893.12,shipped,2024-01-03
50071,147,237.03,completed,2024-01-03
50072,685,229.87,completed,2024-01-03
50073,217,480.98,completed,2024-01-03
50074,166,343.02,shipped,2024-01-03
50075,881,72.45,completed,2024-01-03
50076,120,42.23,shipped,2024-01-03
50077,427,220.5,completed,2024-01-03
50078,183,86.29,completed,2024-01-03
50079,615,111.13,completed,2024-01-03
50080,129,164.3,shipped,2024-01-03
50081,681,372.69,completed,2024-01-03
50082,753,96.47,shipped,2024-01-03
50083,303,244.4,completed,2024-01-03
50084,118,61.87,shipped,2024-01-03
50085,598,194.59,completed,2024-01-03
50086,575,15.24,completed,2024-01-03
50087,105,322.78,completed,2024-01-03
50088,508,19.63,completed,2024-01-03
50089,846,202.11,completed,2024-01-03
50090,331,22.1,pending,2024-01-03
50091,246,61.44,completed,2024-01-03
50092,625,118.14,completed,2024-01-03
50093,266,96.69,completed,2024-01-03
50094,151,46.95,completed,2024-01-03
50095,56,75.93,completed,2024-01-03
50096,577,210.13,completed,2024-01-03
50097,457,180.96,shipped,2024-01-04
50098,188,26.18,completed,2024-01-04
50099,9,221.34,shipped,2024-01-04
50100,307,23.18,completed,2024-01-04
50101,208,132.44,completed,2024-01-04
50102,540,60.18,completed,2024-01-04
50103,651,147.9,shipped,2024-01-04
50104,249,60.44,completed,2024-01-04
50105,388,644.54,shipped,2024-01-04
50106,452,70.6,completed,2024-01-04
50107,517,56.55,shipped,2024-01-04
50108,60,63.96,completed,2024-01-04
50109,101,355.19,completed,2024-01-04
50110,47,166.68,completed,2024-01-04
50111,83,211.78,completed,2024-01-04
50112,308,390.17,completed,2024-01-04
50113,87,379.35,completed,2024-01-04
50114,19,216.45,shipped,2024-01-04
50115,161,48.06,completed,2024-01-04
50116,161,293.08,completed,2024-01-04
50117,759,49.18,completed,2024-01-04
50118,60,218.74,completed,2024-01-04
50119,172,188.56,completed,2024-01-04
50120,471,228.37,completed,2024-01-04
50121,875,129.11,shipped,2024-01-04
50122,283,167.72,completed,2024-01-04
50123,439,474.67,completed,2024-01-04
50124,125,30.99,completed,2024-01-04
50125,23,70.41,completed,2024-01-04
50126,726,156.76,completed,2024-01-04
50127,292,513.86,completed,2024-01-04
50128,703,30.07,completed,2024-01-04
50129,315,18.42,completed,2024-01-05
50130,815,23.6,cancelled,2024-01-05
50131,235,23.07,completed,2024-01-05
50132,572,372.6,completed,2024-01-05
50133,1011,206.62,completed,2024-01-05
50134,605,184.56,completed,2024-01-05
50135,218,125.9,pending,2024-01-05
50136,56,243.46,completed,2024-01-05
50137,365,40.38,completed,2024-01-05
50138,877,89.62,shipped,2024-01-05
50139,581,116.0,completed,2024-01-05
50140,540,32.55,cancelled,2024-01-05
50141,324,96.58,pending,2024-01-05
50142,290,72.08,completed,2024-01-05
50143,3,20.43,completed,2024-01-05
50144,141,37.06,completed,2024-01-05
50145,218,231.61,completed,2024-01-05
50146,464,17.73,completed,2024-01-05
50147,850,423.29,completed,2024-01-05
50148,533,28.56,pending,2024-01-05
50149,446,255.85,completed,2024-01-05
50150,188,358.33,completed,2024-01-05
50151,660,439.88,completed,2024-01-05
50152,869,318.15,pending,2024-01-05
50153,14,65.86,completed,2024-01-05
50154,1004,75.76,completed,2024-01-05
50155,755,98.41,shipped,2024-01-05
50156,235,37.5,shipped,2024-01-05
50157,20,18.38,pending,2024-01-05
50158,467,320.02,shipped,2024-01-05
50159,748,136.16,completed,2024-01-05
50160,393,155.75,completed,2024-01-05
50161,275,407.57,completed,2024-01-06
50162,390,179.1,completed,2024-01-06
50163,656,191.09,completed,2024-01-06
50164,716,246.95,completed,2024-01-06
50165,201,33.55,pending,2024-01-06
50166,304,81.98,completed,2024-01-06
50167,134,532.28,completed,2024-01-06
50168,753,399.46,completed,2024-01-06
50169,891,338.22,pending,2024-01-06
50170,471,105.25,completed,2024-01-06
50171,233,306.94,completed,2024-01-06
50172,689,22.44,completed,2024-01-06
50173,819,39.12,completed,2024-01-06
50174,621,95.16,completed,2024-01-06
50175,553,114.07,pending,2024-01-06
50176,439,60.88,cancelled,2024-01-06
50177,832,81.12,cancelled,2024-01-06
50178,554,41.65,completed,2024-01-06
50179,619,115.75,pending,2024-01-06
50180,48,251.87,cancelled,2024-01-06
50181,640,177.42,pending,2024-01-06
50182,31,32.11,completed,2024-01-06
50183,598,115.29,shipped,2024-01-06
50184,753,194.42,completed,2024-01-06
50185,471,128.22,pending,2024-01-06
50186,1001,89.56,completed,2024-01-06
50187,838,160.9,completed,2024-01-06
50188,725,534.33,cancelled,2024-01-06
50189,247,29.96,completed,2024-01-06
50190,640,89.15,completed,2024-01-06
50191,479,93.28,cancelled,2024-01-06
50192,689,144.05,cancelled,2024-01-06
50193,1002,39.76,completed,2024-01-07
50194,732,44.15,pending,2024-01-07
50195,891,65.4,completed,2024-01-07
50196,664,483.09,completed,2024-01-07
50197,163,213.7,completed,2024-01-07
50198,382,177.57,completed,2024-01-07
50199,536,269.71,completed,2024-01-07
50200,283,35.47,completed,2024-01-07
50201,50,309.2,pending,2024-01-07
50202,1019,150.52,completed,2024-01-07
50203,737,76.27,pending,2024-01-07
50204,72,268.8,shipped,2024-01-07
50205,257,258.35,completed,2024-01-07
50206,357,295.34,pending,2024-01-07
50207,619,33.41,pending,2024-01-07
50208,376,537.82,completed,2024-01-07
50209,572,496.44,completed,2024-01-07
50210,520,81.35,shipped,2024-01-07
50211,377,25.22,shipped,2024-01-07
50212,72,42.42,pending,2024-01-07
50213,605,755.69,completed,2024-01-07
50214,91,139.18,completed,2024-01-07
50215,508,81.15,completed,2024-01-07
50216,782,65.99,completed,2024-01-07
50217,790,59.56,completed,2024-01-07
50218,899,178.66,completed,2024-01-07
50219,61,96.55,completed,2024-01-07
50220,691,519.63,shipped,2024-01-07
50221,780,187.73,completed,2024-01-07
50222,701,250.56,completed,2024-01-07
50223,836,66.95,shipped,2024-01-07
50224,326,27.37,cancelled,2024-01-07
50225,160,115.36,completed,2024-01-08
50226,670,71.66,completed,2024-01-08
50227,516,48.86,pending,2024-01-08
50228,744,472.5,completed,2024-01-08
50229,268,103.04,shipped,2024-01-08
50230,93,43.8,completed,2024-01-08
50231,100,48.22,completed,2024-01-08
50232,618,64.42,completed,2024-01-08
50233,255,1108.19,completed,2024-01-08
50234,420,61.8,completed,2024-01-08
50235,681,74.8,completed,2024-01-08
50236,262,176.53,cancelled,2024-01-08
50237,126,67.21,completed,2024-01-08
50238,806,51.46,completed,2024-01-08
50239,646,40.91,pending,2024-01-08
50240,265,71.24,completed,2024-01-08
50241,273,31.79,shipped,2024-01-08
50242,792,17.82,cancelled,2024-01-08
50243,726,259.94,completed,2024-01-08
50244,607,37.26,completed,2024-01-08
50245,347,239.4,pending,2024-01-08
50246,741,254.58,completed,2024-01-08
50247,331,130.8,completed,2024-01-08
50248,155,70.59,pending,2024-01-08
50249,704,38.5,shipped,2024-01-08
50250,410,215.23,cancelled,2024-01-08
50251,294,152.96,completed,2024-01-08
50252,615,174.83,completed,2024-01-08
50253,883,16.31,completed,2024-01-08
50254,171,408.66,completed,2024-01-08
50255,571,25.29,completed,2024-01-08
50256,124,83.55,completed,2024-01-08
50257,698,92.3,completed,2024-01-09
50258,623,15.2,completed,2024-01-09
50259,441,118.1,completed,2024-01-09
50260,101,224.64,completed,2024-01-09
50261,74,274.97,pending,2024-01-09
50262,146,332.29,completed,2024-01-09
50263,212,115.33,shipped,2024-01-09
50264,185,164.4,pending,2024-01-09
50265,800,27.43,completed,2024-01-09
50266,65,115.43,completed,2024-01-09
50267,494,40.23,completed,2024-01-09
50268,102,84.22,pending,2024-01-09
50269,726,74.92,completed,2024-01-09
50270,366,97.63,shipped,2024-01-09
50271,693,142.17,cancelled,2024-01-09
50272,247,364.77,cancelled,2024-01-09
50273,878,90.25,completed,2024-01-09
50274,349,610.54,shipped,2024-01-09
50275,201,228.46,cancelled,2024-01-09
50276,558,122.46,completed,2024-01-09
50277,120,169.93,completed,2024-01-09
50278,471,31.18,completed,2024-01-09
50279,250,294.19,completed,2024-01-09
50280,301,145.97,pending,2024-01-09
50281,888,656.03,completed,2024-01-09
50282,250,166.77,pending,2024-01-09
50283,484,284.47,shipped,2024-01-09
50284,566,256.24,completed,2024-01-09
50285,610,78.57,completed,2024-01-09
50286,837,60.09,completed,2024-01-09
50287,559,99.45,pending,2024-01-09
50288,198,109.45,completed,2024-01-09
50289,283,56.18,completed,2024-01-10
50290,453,352.5,completed,2024-01-10
50291,796,132.31,pending,2024-01-10
50292,819,590.57,pending,2024-01-10
50293,398,264.12,completed,2024-01-10
50294,718,136.69,completed,2024-01-10
50295,507,455.73,shipped,2024-01-10
50296,25,120.44,completed,2024-01-10
50297,650,342.2,completed,2024-01-10
50298,628,81.51,completed,2024-01-10
50299,496,86.38,completed,2024-01-10
50300,825,96.23,completed,2024-01-10
50301,621,133.66,completed,2024-01-10
50302,396,135.94,completed,2024-01-10
50303,401,117.9,completed,2024-01-10
50304,56,69.79,completed,2024-01-10
50305,1013,408.02,completed,2024-01-10
50306,163,148.22,completed,2024-01-10
50307,891,93.57,completed,2024-01-10
50308,822,172.98,cancelled,2024-01-10
50309,603,234.13,completed,2024-01-10
50310,286,500.59,pending,2024-01-10
50311,266,118.84,completed,2024-01-10
50312,718,32.83,completed,2024-01-10
50313,59,102.18,completed,2024-01-10
50314,456,112.79,completed,2024-01-10
50315,900,355.95,shipped,2024-01-10
50316,350,90.33,completed,2024-01-10
50317,435,474.68,completed,2024-01-10
50318,546,114.58,pending,2024-01-10
50319,118,561.19,completed,2024-01-10
50320,448,16.23,completed,2024-01-10
50321,722,358.62,completed,2024-01-11
50322,837,416.31,completed,2024-01-11
50323,154,501.71,completed,2024-01-11
50324,143,16.97,completed,2024-01-11
50325,518,43.26,completed,2024-01-11
50326,563,174.1,completed,2024-01-11
50327,576,18.87,shipped,2024-01-11
50328,220,24.86,shipped,2024-01-11
50329,669,52.48,cancelled,2024-01-11
50330,616,122.75,pending,2024-01-11
50331,64,133.42,pending,2024-01-11
50332,304,20.23,shipped,2024-01-11
50333,387,43.02,completed,2024-01-11
50334,451,118.88,completed,2024-01-11
50335,879,150.19,completed,2024-01-11
50336,196,39.1,completed,2024-01-11
50337,533,91.33,pending,2024-01-11
50338,109,367.14,completed,2024-01-11
50339,504,1036.77,completed,2024-01-11
50340,134,668.92,completed,2024-01-11
50341,710,335.15,completed,2024-01-11
50342,187,90.29,completed,2024-01-11
50343,22,189.03,completed,2024-01-11
50344,794,95.83,completed,2024-01-11
50345,48,171.84,completed,2024-01-11
50346,258,70.54,completed,2024-01-11
50347,699,154.79,completed,2024-01-11
50348,630,126.27,pending,2024-01-11
50349,714,18.72,completed,2024-01-11
50350,864,249.6,completed,2024-01-11
50351,374,16.8,cancelled,2024-01-11
50352,674,67.04,completed,2024-01-11
50353,790,15.89,completed,2024-01-12
50354,294,85.79,completed,2024-01-12
50355,726,24.79,shipped,2024-01-12
50356,455,382.16,completed,2024-01-12
50357,192,95.6,completed,2024-01-12
50358,584,107.29,shipped,2024-01-12
50359,605,79.58,completed,2024-01-12
50360,14,163.13,pending,2024-01-12
50361,261,245.16,completed,2024-01-12
50362,662,171.68,completed,2024-01-12
50363,540,221.87,shipped,2024-01-12
50364,204,369.63,completed,2024-01-12
50365,875,313.77,pending,2024-01-12
50366,783,183.16,cancelled,2024-01-12
50367,571,51.24,completed,2024-01-12
50368,754,167.29,pending,2024-01-12
50369,607,120.81,completed,2024-01-12
50370,683,204.46,pending,2024-01-12
50371,804,283.4,completed,2024-01-12
50372,12,218.64,completed,2024-01-12
50373,13,296.17,completed,2024-01-12
50374,117,24.9,completed,2024-01-12
50375,534,19.82,completed,2024-01-12
50376,59,59.86,pending,2024-01-12
50377,450,361.39,pending,2024-01-12
50378,293,275.3,completed,2024-01-12
50379,21,187.2,completed,2024-01-12
50380,171,195.98,pending,2024-01-12
50381,714,209.56,completed,2024-01-12
50382,8,443.66,completed,2024-01-12
50383,335,282.74,completed,2024-01-12
50384,518,161.48,completed,2024-01-12
50385,147,179.36,completed,2024-01-13
50386,89,51.07,shipped,2024-01-13
50387,302,175.64,completed,2024-01-13
50388,1016,97.92,completed,2024-01-13
50389,421,39.9,pending,2024-01-13
50390,765,261.3,completed,2024-01-13
50391,611,122.08,completed,2024-01-13
50392,672,583.64,completed,2024-01-13
50393,288,64.63,completed,2024-01-13
50394,367,113.28,completed,2024-01-13
50395,5,104.13,completed,2024-01-13
50396,393,34.31,completed,2024-01-13
50397,154,98.3,completed,2024-01-13
50398,589,65.86,completed,2024-01-13
50399,598,41.21,shipped,2024-01-13
50400,600,64.73,completed,2024-01-13
50401,41,54.84,completed,2024-01-13
50402,393,213.68,pending,2024-01-13
50403,441,19.69,completed,2024-01-13
50404,639,159.14,completed,2024-01-13
50405,751,229.48,completed,2024-01-13
50406,137,113.3,pending,2024-01-13
50407,833,417.28,completed,2024-01-13
50408,776,199.59,completed,2024-01-13
50409,20,221.7,completed,2024-01-13
50410,603,47.9,completed,2024-01-13
50411,376,240.29,shipped,2024-01-13
50412,504,282.65,completed,2024-01-13
50413,262,82.24,completed,2024-01-13
50414,855,51.0,cancelled,2024-01-13
50415,425,87.93,completed,2024-01-13
50416,537,216.84,completed,2024-01-13
50417,840,96.1,completed,2024-01-14
50418,223,215.14,shipped,2024-01-14
50419,429,33.08,shipped,2024-01-14
50420,26,260.99,pending,2024-01-14
50421,887,58.8,completed,2024-01-14
50422,760,57.94,completed,2024-01-14
50423,310,148.88,completed,2024-01-14
50424,717,25.9,pending,2024-01-14
50425,513,19.0,completed,2024-01-14
50426,89,60.37,completed,2024-01-14
50427,888,130.85,shipped,2024-01-14
50428,76,372.27,completed,2024-01-14
50429,207,296.04,completed,2024-01-14
50430,462,116.13,pending,2024-01-14
50431,780,20.66,completed,2024-01-14
50432,248,129.94,completed,2024-01-14
50433,195,198.01,completed,2024-01-14
50434,228,77.14,completed,2024-01-14
50435,528,32.66,completed,2024-01-14
50436,188,63.98,completed,2024-01-14
50437,843,236.49,completed,2024-01-14
50438,645,79.9,pending,2024-01-14
50439,752,265.68,completed,2024-01-14
50440,794,72.74,completed,2024-01-14
50441,447,41.79,completed,2024-01-14
50442,217,100.86,shipped,2024-01-14
50443,503,105.3,completed,2024-01-14
50444,304,17.44,shipped,2024-01-14
50445,509,33.67,shipped,2024-01-14
50446,889,45.67,pending,2024-01-14
50447,825,33.09,shipped,2024-01-14
50448,169,77.67,completed,2024-01-14
50449,835,516.25,shipped,2024-01-15
50450,639,121.76,pending,2024-01-15
50451,809,163.15,cancelled,2024-01-15
50452,634,81.1,completed,2024-01-15
50453,663,73.62,completed,2024-01-15
50454,550,18.51,completed,2024-01-15
50455,250,119.07,completed,2024-01-15
50456,625,114.13,shipped,2024-01-15
50457,1019,40.77,cancelled,2024-01-15
50458,503,231.79,completed,2024-01-15
50459,112,116.79,pending,2024-01-15
50460,263,77.1,completed,2024-01-15
50461,701,38.83,completed,2024-01-15
50462,318,135.5,completed,2024-01-15
50463,646,224.64,completed,2024-01-15
50464,270,64.69,pending,2024-01-15
50465,147,52.04,completed,2024-01-15
50466,189,125.7,completed,2024-01-15
50467,447,40.32,completed,2024-01-15
50468,820,179.77,completed,2024-01-15
50469,781,154.46,pending,2024-01-15
50470,359,28.67,completed,2024-01-15
50471,273,20.58,completed,2024-01-15
50472,147,160.25,shipped,2024-01-15
50473,726,67.28,completed,2024-01-15
50474,440,28.56,shipped,2024-01-15
50475,294,228.71,completed,2024-01-15
50476,384,71.54,completed,2024-01-15
50477,1008,107.32,cancelled,2024-01-15
50478,103,55.54,shipped,2024-01-15
50479,813,163.05,completed,2024-01-15
50480,511,68.82,completed,2024-01-15
50481,877,531.4,pending,2024-01-16
50482,304,197.08,completed,2024-01-16
50483,92,37.05,completed,2024-01-16
50484,727,95.86,completed,2024-01-16
50485,201,88.02,completed,2024-01-16
50486,314,129.62,completed,2024-01-16
50487,586,291.71,pending,2024-01-16
50488,570,146.35,completed,2024-01-16
50489,26,24.53,shipped,2024-01-16
50490,676,174.81,completed,2024-01-16
50491,463,16.24,completed,2024-01-16
50492,224,242.09,completed,2024-01-16
50493,728,179.78,completed,2024-01-16
50494,453,70.4,completed,2024-01-16
50495,606,66.89,completed,2024-01-16
50496,411,255.13,shipped,2024-01-16
50497,76,244.41,completed,2024-01-16
50498,276,80.15,completed,2024-01-16
50499,292,68.28,cancelled,2024-01-16
50500,306,138.09,cancelled,2024-01-16
50501,348,16.26,completed,2024-01-16
50502,514,27.94,completed,2024-01-16
50503,15,35.23,shipped,2024-01-16
50504,702,45.76,shipped,2024-01-16
50505,618,122.62,completed,2024-01-16
50506,134,743.85,completed,2024-01-16
50507,67,173.6,shipped,2024-01-16
50508,217,24.49,pending,2024-01-16
50509,84,126.85,shipped,2024-01-16
50510,237,117.97,completed,2024-01-16
50511,784,38.35,completed,2024-01-16
50512,662,394.37,completed,2024-01-16
50513,791,102.18,completed,2024-01-17
50514,606,797.07,completed,2024-01-17
50515,113,96.73,completed,2024-01-17
50516,582,155.46,completed,2024-01-17
50517,601,31.6,completed,2024-01-17
50518,559,105.83,shipped,2024-01-17
50519,550,55.92,shipped,2024-01-17
50520,856,285.79,pending,2024-01-17
50521,161,244.82,shipped,2024-01-17
50522,480,275.74,completed,2024-01-17
50523,320,207.89,completed,2024-01-17
50524,390,283.18,completed,2024-01-17
50525,452,48.63,completed,2024-01-17
50526,127,105.23,pending,2024-01-17
50527,294,191.57,completed,2024-01-17
50528,274,167.17,completed,2024-01-17
50529,900,204.0,completed,2024-01-17
50530,147,53.09,completed,2024-01-17
50531,530,30.54,completed,2024-01-17
50532,129,387.99,completed,2024-01-17
50533,357,138.21,completed,2024-01-17
50534,169,40.05,completed,2024-01-17
50535,451,251.57,pending,2024-01-17
50536,437,384.64,completed,2024-01-17
50537,445,42.87,completed,2024-01-17
50538,668,270.08,completed,2024-01-17
50539,628,420.96,completed,2024-01-17
50540,645,432.97,completed,2024-01-17
50541,43,383.28,completed,2024-01-17
50542,314,133.59,shipped,2024-01-17
50543,78,81.06,shipped,2024-01-17
50544,611,16.09,completed,2024-01-17
50545,483,24.43,completed,2024-01-18
50546,866,99.01,completed,2024-01-18
50547,97,91.46,completed,2024-01-18
50548,567,45.63,completed,2024-01-18
50549,127,90.5,completed,2024-01-18
50550,541,43.79,completed,2024-01-18
50551,573,298.36,shipped,2024-01-18
50552,588,68.11,pending,2024-01-18
50553,116,151.91,shipped,2024-01-18
50554,419,119.83,completed,2024-01-18
50555,664,22.99,completed,2024-01-18
50556,383,442.7,completed,2024-01-18
50557,552,127.37,completed,2024-01-18
50558,127,73.97,completed,2024-01-18
50559,487,40.82,completed,2024-01-18
50560,599,76.99,completed,2024-01-18
50561,685,18.11,shipped,2024-01-18
50562,624,82.78,shipped,2024-01-18
50563,503,128.73,completed,2024-01-18
50564,431,323.2,completed,2024-01-18
50565,562,189.41,completed,2024-01-18
50566,542,32.75,completed,2024-01-18
50567,19,38.98,completed,2024-01-18
50568,884,98.82,shipped,2024-01-18
50569,282,47.67,completed,2024-01-18
50570,488,19.24,completed,2024-01-18
50571,634,260.22,completed,2024-01-18
50572,525,17.96,completed,2024-01-18
50573,451,281.4,completed,2024-01-18
50574,417,38.34,shipped,2024-01-18
50575,835,566.41,completed,2024-01-18
50576,115,153.9,completed,2024-01-18
50577,384,214.19,pending,2024-01-19
50578,13,32.56,completed,2024-01-19
50579,269,312.19,completed,2024-01-19
50580,651,289.13,completed,2024-01-19
50581,770,173.76,shipped,2024-01-19
50582,320,119.66,completed,2024-01-19
50583,790,206.74,completed,2024-01-19
50584,796,15.89,cancelled,2024-01-19
50585,419,149.64,shipped,2024-01-19
50586,439,297.0,completed,2024-01-19
50587,661,81.22,shipped,2024-01-19
50588,73,32.19,completed,2024-01-19
50589,730,96.94,completed,2024-01-19
50590,734,209.8,completed,2024-01-19
50591,128,32.03,completed,2024-01-19
50592,273,49.61,completed,2024-01-19
50593,30,38.95,pending,2024-01-19
50594,867,254.14,completed,2024-01-19
50595,754,24.74,completed,2024-01-19
50596,409,189.03,completed,2024-01-19
50597,570,83.46,pending,2024-01-19
50598,13,226.46,shipped,2024-01-19
50599,380,515.24,completed,2024-01-19
50600,328,33.25,pending,2024-01-19
50601,695,71.62,completed,2024-01-19
50602,671,264.21,completed,2024-01-19
50603,760,61.42,shipped,2024-01-19
50604,118,51.33,completed,2024-01-19
50605,511,276.77,cancelled,2024-01-19
50606,302,667.37,completed,2024-01-19
50607,342,137.09,completed,2024-01-19
50608,519,63.87,pending,2024-01-19
50609,439,91.27,shipped,2024-01-20
50610,172,42.97,completed,2024-01-20
50611,227,230.25,completed,2024-01-20
50612,494,237.73,shipped,2024-01-20
50613,794,327.06,completed,2024-01-20
50614,406,19.04,pending,2024-01-20
50615,107,138.82,shipped,2024-01-20
50616,834,51.17,completed,2024-01-20
50617,508,77.53,completed,2024-01-20
50618,370,245.54,completed,2024-01-20
50619,611,46.99,completed,2024-01-20
50620,240,167.56,shipped,2024-01-20
50621,393,174.44,cancelled,2024-01-20
50622,523,477.17,completed,2024-01-20
50623,278,238.86,completed,2024-01-20
50624,161,259.17,completed,2024-01-20
50625,116,128.77,completed,2024-01-20
50626,441,46.01,completed,2024-01-20
50627,820,98.15,completed,2024-01-20
50628,112,134.61,completed,2024-01-20
50629,495,185.18,pending,2024-01-20
50630,650,155.36,completed,2024-01-20
50631,687,90.13,shipped,2024-01-20
50632,691,61.25,shipped,2024-01-20
50633,197,42.63,completed,2024-01-20
50634,723,192.55,completed,2024-01-20
50635,483,170.51,completed,2024-01-20
50636,176,189.41,completed,2024-01-20
50637,744,84.91,shipped,2024-01-20
50638,615,60.65,completed,2024-01-20
50639,653,228.89,completed,2024-01-20
50640,160,237.85,completed,2024-01-20
50641,664,106.22,shipped,2024-01-21
50642,542,156.98,completed,2024-01-21
50643,183,85.15,completed,2024-01-21
50644,109,196.57,completed,2024-01-21
50645,296,285.93,shipped,2024-01-21
50646,483,189.83,completed,2024-01-21
50647,342,122.8,completed,2024-01-21
50648,332,107.06,completed,2024-01-21
50649,206,169.22,completed,2024-01-21
50650,489,185.83,completed,2024-01-21
50651,768,137.71,completed,2024-01-21
50652,256,162.1,completed,2024-01-21
50653,818,30.24,completed,2024-01-21
50654,492,469.75,completed,2024-01-21
50655,577,249.65,completed,2024-01-21
50656,746,85.24,completed,2024-01-21
50657,780,139.11,completed,2024-01-21
50658,368,22.27,pending,2024-01-21
50659,599,21.32,completed,2024-01-21
50660,420,58.31,completed,2024-01-21
50661,732,190.53,completed,2024-01-21
50662,369,301.73,completed,2024-01-21
50663,364,137.87,completed,2024-01-21
50664,692,128.94,completed,2024-01-21
50665,430,92.2,cancelled,2024-01-21
50666,543,41.44,shipped,2024-01-21
50667,73,33.89,shipped,2024-01-21
50668,540,229.49,cancelled,2024-01-21
50669,574,408.63,pending,2024-01-21
50670,340,106.95,shipped,2024-01-21
50671,354,176.58,completed,2024-01-21
50672,702,383.81,completed,2024-01-21
50673,183,29.17,completed,2024-01-22
50674,763,235.77,completed,2024-01-22
50675,855,158.89,completed,2024-01-22
50676,852,151.93,cancelled,2024-01-22
50677,218,66.91,completed,2024-01-22
50678,426,187.75,completed,2024-01-22
50679,17,252.56,completed,2024-01-22
50680,542,32.96,completed,2024-01-22
50681,264,129.38,completed,2024-01-22
50682,386,31.02,completed,2024-01-22
50683,334,324.03,completed,2024-01-22
50684,124,121.28,completed,2024-01-22
50685,652,262.51,completed,2024-01-22
50686,247,83.85,completed,2024-01-22
50687,106,35.04,completed,2024-01-22
50688,27,21.36,completed,2024-01-22
50689,441,64.59,completed,2024-01-22
50690,530,57.0,completed,2024-01-22
50691,260,138.27,completed,2024-01-22
50692,888,18.3,completed,2024-01-22
50693,759,125.27,completed,2024-01-22
50694,793,89.58,completed,2024-01-22
50695,566,144.1,pending,2024-01-22
50696,76,196.81,completed,2024-01-22
50697,122,165.81,completed,2024-01-22
50698,112,641.44,completed,2024-01-22
50699,421,37.32,completed,2024-01-22
50700,355,99.25,completed,2024-01-22
50701,43,97.96,shipped,2024-01-22
50702,532,95.95,shipped,2024-01-22
50703,442,178.51,completed,2024-01-22
50704,634,115.95,pending,2024-01-22
50705,367,124.3,completed,2024-01-23
50706,754,99.94,completed,2024-01-23
50707,868,733.72,completed,2024-01-23
50708,118,408.75,completed,2024-01-23
50709,105,70.17,completed,2024-01-23
50710,364,32.75,completed,2024-01-23
50711,427,289.67,completed,2024-01-23
50712,224,895.14,completed,2024-01-23
50713,408,66.93,completed,2024-01-23
50714,264,81.42,completed,2024-01-23
50715,801,441.15,completed,2024-01-23
50716,844,201.27,completed,2024-01-23
50717,294,67.57,completed,2024-01-23
50718,799,145.5,shipped,2024-01-23
50719,432,447.98,completed,2024-01-23
50720,418,265.55,pending,2024-01-23
50721,776,218.12,completed,2024-01-23
50722,438,215.34,completed,2024-01-23
50723,692,44.41,pending,2024-01-23
50724,589,276.17,completed,2024-01-23
