customer_id,customer_name,total_transactions,purchase_count,total_spent,days_as_customer,days_since_last_purchase
62,Customer_62,19,19,1290.48,538,99
63,Customer_63,9,9,1597.01,64,12
64,Customer_64,11,11,514.91,235,25
65,Customer_65,8,8,450.5,110,52
66,Customer_66,14,14,749.77,591,379
67,Customer_67,9,9,1472.12,417,53
68,Customer_68,14,14,1769.81,31,23
69,Customer_69,7,7,340.03,419,144
70,Customer_70,8,8,746.0,595,57
71,Customer_71,9,9,1083.34,135,39
72,Customer_72,9,9,341.43,506,109
73,Customer_73,11,11,1779.52,431,181
74,Customer_74,9,9,1346.03,585,42
75,Customer_75,17,17,1756.22,191,142
76,Customer_76,6,6,1049.43,231,122
77,Customer_77,13,13,1166.79,299,133
78,Customer_78,10,10,1775.37,300,163
79,Customer_79,11,11,1413.8,485,215
80,Customer_80,9,9,1110.37,491,221
81,Customer_81,11,11,557.95,281,75
82,Customer_82,11,11,1778.69,325,146
83,Customer_83,19,19,1733.96,367,239
84,Customer_84,8,8,401.17,82,12
85,Customer_85,12,12,323.45,246,9
86,Customer_86,15,15,1676.43,217,74
87,Customer_87,12,12,1280.96,409,253
88,Customer_88,9,9,1228.5,522,230
89,Customer_89,12,12,1955.88,70,7
90,Customer_90,9,9,335.77,186,141
91,Customer_91,18,18,2490.88,44,9
92,Customer_92,13,13,702.64,94,50
93,Customer_93,12,12,1896.21,550,283
94,Customer_94,16,16,2431.28,373,122
95,Customer_95,13,13,1414.7,158,66
96,Customer_96,14,14,1891.23,677,517
97,Customer_97,18,18,1327.04,501,29
98,Customer_98,11,11,1078.34,92,37
99,Customer_99,4,4,609.41,168,83
100,Customer_100,15,15,1442.79,528,136
101,Customer_101,13,13,1045.96,622,496
102,Customer_102,11,11,1117.63,421,321
103,Customer_103,10,10,1533.79,704,342
104,Customer_104,10,10,769.57,448,145
105,Customer_105,12,12,623.2,318,71
106,Customer_106,9,9,1218.26,408,217
107,Customer_107,9,9,1377.24,519,301
108,Customer_108,13,13,527.78,260,132
109,Customer_109,15,15,932.71,70,36
110,Customer_110,6,6,282.03,57,6
111,Customer_111,12,12,947.17,164,19
112,Customer_112,11,11,1042.85,230,108
113,Customer_113,14,14,1974.95,62,39
114,Customer_114,13,13,1637.06,77,27
115,Customer_115,11,11,1333.68,532,202
116,Customer_116,12,12,955.42,436,346
117,Customer_117,14,14,2175.94,603,19
118,Customer_118,14,14,1372.69,128,39
119,Customer_119,16,16,2828.18,713,126
120,Customer_120,12,12,1479.5,576,451
121,Customer_121,18,18,802.28,642,173
122,Customer_122,10,10,1298.08,491,141
123,Customer_123,12,12,904.69,672,220
124,Customer_124,16,16,2102.09,34,26
125,Customer_125,16,16,572.71,247,148
126,Customer_126,13,13,677.39,532,317
127,Customer_127,7,7,1103.47,427,1
128,Customer_128,14,14,842.98,422,190
129,Customer_129,14,14,2166.38,236,113
130,Customer_130,10,10,682.88,44,25
131,Customer_131,15,15,1869.7,583,312
132,Customer_132,13,13,1723.71,490,117
133,Customer_133,13,13,1358.0,720,134
134,Customer_134,10,10,723.23,604,58
135,Customer_135,11,11,637.56,270,44
136,Customer_136,13,13,391.88,593,173
137,Customer_137,11,11,793.23,125,32
138,Customer_138,15,15,1893.6,514,173
139,Customer_139,7,7,1193.06,436,317
140,Customer_140,10,10,1600.37,260,47
141,Customer_141,9,9,1293.66,684,149
142,Customer_142,11,11,1619.3,200,80
143,Customer_143,14,14,1793.02,570,374
144,Customer_144,6,6,392.07,65,21
145,Customer_145,12,12,1987.38,554,203
146,Customer_146,14,14,1805.49,189,147
147,Customer_147,12,12,1342.42,728,532
148,Customer_148,8,8,337.63,272,185
149,Customer_149,10,10,942.94,115,18
150,Customer_150,8,8,770.84,607,47
151,Customer_151,15,15,2385.11,711,233
152,Customer_152,8,8,877.84,586,305
153,Customer_153,9,9,755.66,603,14
154,Customer_154,12,12,2116.85,675,143
155,Customer_155,13,13,548.1,57,31
156,Customer_156,17,17,1538.42,649,513
157,Customer_157,12,12,378.17,585,373
158,Customer_158,11,11,1536.54,369,54
159,Customer_159,9,9,1505.72,360,259
160,Customer_160,12,12,820.87,669,471
161,Customer_161,9,9,1422.39,535,12
162,Customer_162,12,12,843.53,377,224
163,Customer_163,13,13,2160.2,502,272
164,Customer_164,10,10,1418.64,260,200
165,Customer_165,13,13,1946.89,219,102
166,Customer_166,16,16,444.66,254,152
167,Customer_167,14,14,2439.3,414,156
168,Customer_168,15,15,2064.51,406,8
169,Customer_169,7,7,505.65,312,122
170,Customer_170,15,15,2303.34,662,348
171,Customer_171,12,12,823.63,657,90
172,Customer_172,10,10,1602.77,288,136
173,Customer_173,9,9,382.05,388,186
174,Customer_174,12,12,1608.86,485,316
175,Customer_175,7,7,761.66,440,178
176,Customer_176,10,10,399.63,678,540
177,Customer_177,18,18,1124.88,347,220
178,Customer_178,19,19,511.53,706,41
179,Customer_179,5,5,488.3,254,192
180,Customer_180,14,14,1003.75,263,155
181,Customer_181,13,13,1530.69,713,502
182,Customer_182,13,13,923.93,693,145
183,Customer_183,10,10,714.87,403,201
184,Customer_184,15,15,2102.92,701,461
185,Customer_185,11,11,357.08,637,220
186,Customer_186,11,11,1814.44,501,240
187,Customer_187,15,15,2356.51,262,157
188,Customer_188,9,9,1156.59,721,558
189,Customer_189,14,14,1637.29,142,35
190,Customer_190,8,8,1306.46,526,253
191,Customer_191,19,19,1020.8,471,82
192,Customer_192,13,13,484.12,593,371
193,Customer_193,11,11,683.36,297,197
194,Customer_194,9,9,1333.44,539,303
195,Customer_195,11,11,334.11,415,10
196,Customer_196,13,13,1499.36,416,312
197,Customer_197,13,13,2330.81,142,30
198,Customer_198,12,12,1891.59,642,242
199,Customer_199,7,7,740.77,654,251
200,Customer_200,11,11,383.51,110,5
201,Customer_201,12,12,1846.35,728,119
202,Customer_202,13,13,1531.94,142,33
203,Customer_203,15,15,642.22,31,22
204,Customer_204,11,11,435.03,671,65
205,Customer_205,6,6,995.95,249,146
206,Customer_206,12,12,1544.71,595,224
207,Customer_207,10,10,1535.39,254,177
208,Customer_208,16,16,2579.87,414,267
209,Customer_209,7,7,795.37,432,341
210,Customer_210,12,12,1262.45,667,282
211,Customer_211,14,14,1284.03,159,63
212,Customer_212,12,12,889.52,82,25
213,Customer_213,10,10,923.62,713,461
214,Customer_214,6,6,869.71,701,105
215,Customer_215,7,7,828.09,445,99
216,Customer_216,14,14,2286.78,276,129
217,Customer_217,8,8,749.79,468,311
218,Customer_218,7,7,833.69,232,6
219,Customer_219,14,14,1719.94,213,95
220,Customer_220,19,19,2217.55,152,5
221,Customer_221,12,12,1606.9,430,259
222,Customer_222,15,15,927.03,323,23
223,Customer_223,16,16,1670.66,309,229
224,Customer_224,17,17,699.63,639,53
225,Customer_225,16,16,1353.59,227,165
226,Customer_226,13,13,1307.65,540,202
227,Customer_227,14,14,1765.33,173,83
228,Customer_228,5,5,861.66,638,145
229,Customer_229,10,10,1181.01,230,85
230,Customer_230,15,15,2103.86,153,78
231,Customer_231,12,12,1241.65,216,110
232,Customer_232,14,14,1726.01,355,1
233,Customer_233,14,14,503.92,493,51
234,Customer_234,14,14,902.03,378,173
235,Customer_235,12,12,973.05,689,446
236,Customer_236,14,14,1375.31,432,288
237,Customer_237,11,11,352.83,375,34
238,Customer_238,13,13,607.15,540,348
239,Customer_239,14,14,950.69,176,95
240,Customer_240,11,11,1931.46,177,72
241,Customer_241,9,9,687.23,518,39
242,Customer_242,13,13,1296.31,669,154
243,Customer_243,18,18,997.11,580,250
244,Customer_244,12,12,1436.05,367,162
245,Customer_245,17,17,1164.6,670,438
246,Customer_246,12,12,685.01,502,118
247,Customer_247,13,13,1365.89,180,3
248,Customer_248,9,9,232.68,444,306
249,Customer_249,10,10,261.88,327,54
250,Customer_250,11,11,648.51,640,236
251,Customer_251,6,6,184.15,292,133
252,Customer_252,12,12,500.93,173,57
253,Customer_253,16,16,1240.37,375,112
254,Customer_254,9,9,1344.61,653,303
255,Customer_255,14,14,1591.35,601,407
256,Customer_256,8,8,835.71,31,15
257,Customer_257,15,15,1057.36,333,229
258,Customer_258,12,12,2033.06,283,85
259,Customer_259,15,15,1298.06,681,75
260,Customer_260,17,17,654.49,482,103
261,Customer_261,7,7,844.52,66,38
262,Customer_262,5,5,213.22,189,38
263,Customer_263,19,19,1491.68,38,18
264,Customer_264,7,7,725.54,262,98
265,Customer_265,19,19,3049.59,128,82
266,Customer_266,12,12,1218.0,688,335
267,Customer_267,21,21,2810.85,237,91
268,Customer_268,20,20,3577.73,160,51
269,Customer_269,17,17,771.47,433,308
270,Customer_270,12,12,811.0,181,79
271,Customer_271,14,14,1206.23,83,30
272,Customer_272,14,14,1265.37,149,106
273,Customer_273,11,11,975.79,702,81
274,Customer_274,8,8,1325.44,657,133
275,Customer_275,14,14,1899.45,616,285
276,Customer_276,13,13,1549.93,654,138
277,Customer_277,13,13,948.39,449,184
278,Customer_278,18,18,2748.38,451,330
279,Customer_279,14,14,2422.48,133,17
280,Customer_280,14,14,2132.0,283,84
281,Customer_281,14,14,353.4,256,69
282,Customer_282,11,11,1360.06,141,34
283,Customer_283,15,15,493.89,539,262
284,Customer_284,11,11,714.22,502,53
285,Customer_285,11,11,376.49,128,66
286,Customer_286,7,7,830.12,182,126
287,Customer_287,11,11,1445.64,367,235
288,Customer_288,14,14,598.44,192,43
289,Customer_289,11,11,929.45,710,111
290,Customer_290,11,11,1052.88,190,151
291,Customer_291,6,6,493.22,609,183
292,Customer_292,14,14,612.62,427,336
293,Customer_293,12,12,1079.24,306,95
294,Customer_294,16,16,2262.92,533,374
295,Customer_295,12,12,432.07,421,8
296,Customer_296,10,10,374.28,164,104
297,Customer_297,11,11,879.89,224,132
298,Customer_298,12,12,2051.61,430,184
299,Customer_299,17,17,2186.69,669,281
300,Customer_300,18,18,2343.49,62,3
301,Customer_301,19,19,1540.85,717,195
302,Customer_302,7,7,819.12,489,155
303,Customer_303,9,9,239.13,499,93
304,Customer_304,10,10,1235.95,404,160
305,Customer_305,12,12,1998.71,51,19
306,Customer_306,13,13,1559.34,699,5
307,Customer_307,9,9,1443.81,67,18
308,Customer_308,7,7,960.51,259,92
309,Customer_309,14,14,611.61,394,170
310,Customer_310,12,12,1978.56,592,317
311,Customer_311,7,7,247.09,467,22
312,Customer_312,12,12,1293.18,312,149
313,Customer_313,12,12,564.38,56,6
314,Customer_314,13,13,348.59,255,1
315,Customer_315,17,17,1537.06,306,133
316,Customer_316,9,9,636.58,638,233
317,Customer_317,11,11,1103.63,313,12
318,Customer_318,17,17,1945.92,510,346
319,Customer_319,9,9,286.02,482,46
320,Customer_320,11,11,484.72,688,546
321,Customer_321,11,11,1227.49,545,433
322,Customer_322,8,8,625.53,576,78
323,Customer_323,16,16,2208.35,221,45
324,Customer_324,6,6,756.63,78,27
325,Customer_325,13,13,2028.89,541,73
326,Customer_326,12,12,1588.04,46,26
327,Customer_327,11,11,1008.03,201,47
328,Customer_328,11,11,1422.41,249,121
329,Customer_329,14,14,947.58,187,56
330,Customer_330,7,7,507.35,506,350
331,Customer_331,13,13,1914.81,75,43
332,Customer_332,6,6,565.17,402,319
333,Customer_333,17,17,2528.73,547,48
334,Customer_334,10,10,1524.75,128,61
335,Customer_335,10,10,1579.22,66,17
336,Customer_336,12,12,2004.94,309,26
337,Customer_337,15,15,1377.04,378,292
338,Customer_338,12,12,893.09,526,257
339,Customer_339,14,14,1613.37,331,8
340,Customer_340,10,10,825.32,210,113
341,Customer_341,14,14,1654.33,636,355
342,Customer_342,14,14,1881.12,128,52
343,Customer_343,5,5,658.51,729,303
344,Customer_344,20,20,1661.11,145,56
345,Customer_345,14,14,712.09,220,14
346,Customer_346,12,12,1100.78,282,218
347,Customer_347,11,11,518.12,190,28
348,Customer_348,10,10,1629.65,285,215
349,Customer_349,9,9,707.5,352,78
350,Customer_350,18,18,880.94,157,88
351,Customer_351,16,16,463.11,47,2
352,Customer_352,13,13,1626.33,595,365
353,Customer_353,15,15,1855.8,599,154
354,Customer_354,14,14,1089.11,352,14
355,Customer_355,10,10,361.15,715,312
356,Customer_356,10,10,884.92,655,7
357,Customer_357,19,19,1391.54,317,3
358,Customer_358,10,10,1299.54,692,363
359,Customer_359,11,11,1307.85,668,508
360,Customer_360,16,16,1304.19,184,18
361,Customer_361,18,18,1057.92,519,294
362,Customer_362,16,16,2850.33,415,227
363,Customer_363,15,15,1430.55,133,15
364,Customer_364,10,10,1316.83,422,192
365,Customer_365,11,11,514.64,275,217
366,Customer_366,14,14,1403.73,205,119
367,Customer_367,16,16,468.29,68,37
368,Customer_368,12,12,1240.15,506,28
369,Customer_369,15,15,2616.34,711,39
370,Customer_370,12,12,1014.62,567,441
371,Customer_371,8,8,248.36,437,273
372,Customer_372,5,5,148.99,554,231
373,Customer_373,11,11,936.52,535,86
374,Customer_374,12,12,597.65,65,26
375,Customer_375,7,7,200.34,714,126
376,Customer_376,9,9,1279.92,49,25
377,Customer_377,14,14,1344.99,350,145
378,Customer_378,12,12,838.0,541,13
379,Customer_379,9,9,1480.62,429,212
380,Customer_380,7,7,301.01,683,25
381,Customer_381,7,7,1212.17,500,68
382,Customer_382,5,5,368.32,172,67
383,Customer_383,13,13,2115.13,121,18
384,Customer_384,13,13,1539.93,383,111
385,Customer_385,11,11,1684.54,80,36
386,Customer_386,17,17,3017.87,694,111
387,Customer_387,8,8,557.62,727,470
388,Customer_388,11,11,1913.74,604,34
389,Customer_389,12,12,1024.44,219,111
390,Customer_390,9,9,762.79,154,8
391,Customer_391,7,7,544.32,179,113
392,Customer_392,9,9,980.26,343,236
393,Customer_393,12,12,586.71,599,83
394,Customer_394,12,12,1329.9,371,42
395,Customer_395,16,16,1743.43,334,101
396,Customer_396,12,12,1717.14,721,518
397,Customer_397,10,10,1542.16,711,282
398,Customer_398,12,12,1119.22,83,64
399,Customer_399,11,11,790.48,473,226
400,Customer_400,10,10,651.97,642,443
401,Customer_401,11,11,606.83,293,184
402,Customer_402,16,16,542.97,82,59
403,Customer_403,17,17,1327.35,601,365
404,Customer_404,13,13,869.55,649,377
405,Customer_405,17,17,2971.51,34,1
406,Customer_406,13,13,1448.78,132,53
407,Customer_407,12,12,945.94,225,150
408,Customer_408,15,15,1724.59,379,277
409,Customer_409,14,14,652.06,76,6
410,Customer_410,6,6,562.96,685,503
411,Customer_411,15,15,1830.99,298,112
412,Customer_412,10,10,1007.79,399,4
413,Customer_413,15,15,1309.14,665,350
414,Customer_414,8,8,1432.37,135,75
415,Customer_415,7,7,1130.14,699,446
416,Customer_416,15,15,1824.42,688,350
417,Customer_417,22,22,2491.58,686,137
418,Customer_418,15,15,1818.04,149,3
419,Customer_419,11,11,618.24,633,243
420,Customer_420,7,7,603.72,87,31
421,Customer_421,15,15,466.74,375,40
422,Customer_422,12,12,1184.52,503,229
423,Customer_423,13,13,1419.19,146,36
424,Customer_424,14,14,844.22,156,24
425,Customer_425,9,9,1569.82,422,223
426,Customer_426,11,11,1825.62,670,6
427,Customer_427,9,9,1232.39,87,66
428,Customer_428,13,13,1399.77,663,468
429,Customer_429,9,9,1438.61,542,220
430,Customer_430,12,12,543.01,125,75
431,Customer_431,14,14,2065.41,667,4
432,Customer_432,14,14,620.86,147,79
433,Customer_433,19,19,2813.95,589,134
434,Customer_434,8,8,541.95,630,118
435,Customer_435,14,14,2253.29,517,369
436,Customer_436,9,9,1541.94,266,94
437,Customer_437,12,12,576.76,301,230
438,Customer_438,12,12,1160.58,218,62
439,Customer_439,13,13,2301.69,476,194
440,Customer_440,15,15,1498.92,610,335
441,Customer_441,12,12,1906.2,276,203
442,Customer_442,9,9,1046.28,105,8
443,Customer_443,11,11,914.94,183,26
444,Customer_444,9,9,623.67,685,435
445,Customer_445,15,15,847.49,464,173
446,Customer_446,8,8,1144.63,115,44
447,Customer_447,15,15,1273.71,726,326
448,Customer_448,11,11,1146.72,314,154
449,Customer_449,8,8,810.48,249,118
450,Customer_450,11,11,1259.26,98,68
451,Customer_451,13,13,2069.14,76,19
452,Customer_452,11,11,1947.16,123,84
453,Customer_453,10,10,881.76,482,225
454,Customer_454,6,6,919.59,233,20
455,Customer_455,12,12,1722.02,247,113
456,Customer_456,13,13,1480.66,503,140
457,Customer_457,13,13,2251.43,461,47
458,Customer_458,15,15,841.1,370,1
459,Customer_459,16,16,670.98,580,90
460,Customer_460,6,6,944.18,641,142
461,Customer_461,10,10,930.68,318,64
462,Customer_462,14,14,2187.92,283,38
463,Customer_463,12,12,1961.15,386,293
464,Customer_464,8,8,277.45,52,11
465,Customer_465,11,11,1781.31,551,356
466,Customer_466,9,9,850.41,129,77
467,Customer_467,18,18,1874.11,209,3
468,Customer_468,11,11,1343.34,252,161
469,Customer_469,15,15,2528.84,688,10
470,Customer_470,11,11,307.59,471,261
471,Customer_471,11,11,1088.02,637,407
472,Customer_472,13,13,1710.76,354,138
473,Customer_473,10,10,1370.2,545,172
474,Customer_474,16,16,2117.48,45,2
475,Customer_475,12,12,550.05,365,13
476,Customer_476,19,19,1356.72,287,168
477,Customer_477,11,11,886.61,526,130
478,Customer_478,16,16,2395.0,189,84
479,Customer_479,15,15,1023.12,504,321
480,Customer_480,12,12,691.91,693,319
481,Customer_481,6,6,1040.43,719,329
482,Customer_482,12,12,316.49,704,550
483,Customer_483,14,14,2515.27,409,94
484,Customer_484,8,8,1039.26,574,95
485,Customer_485,5,5,767.06,720,318
486,Customer_486,10,10,706.66,456,236
487,Customer_487,9,9,244.97,642,434
488,Customer_488,15,15,2090.55,297,78
489,Customer_489,15,15,2314.39,606,373
490,Customer_490,12,12,1677.29,446,137
491,Customer_491,7,7,329.99,197,76
492,Customer_492,11,11,1559.59,72,35
493,Customer_493,17,17,2451.11,585,35
494,Customer_494,9,9,1143.66,314,1
495,Customer_495,14,14,2012.47,426,296
496,Customer_496,13,13,2029.53,41,22
497,Customer_497,10,10,1201.09,636,60
498,Customer_498,8,8,309.87,331,229
499,Customer_499,13,13,1307.57,282,14
500,Customer_500,14,14,518.5,528,316
