customer_id,customer_name,total_transactions,purchase_count,total_spent,days_as_customer,days_since_last_purchase,transactions_per_month,avg_spend_per_transaction,lifetime_value_per_month,engagement_tier,spend_quartile,recency_score,frequency_score,monetary_score,rfm_score
47,Customer_47,8,8,848.93,50,36,4.8,106.12,509.36,medium,Q2,4,1,2,7
48,Customer_48,11,11,764.57,196,140,1.68,69.51,117.03,low,Q2,3,2,2,7
49,Customer_49,10,10,1478.92,303,189,0.99,147.89,146.43,low,Q3,2,2,4,8
50,Customer_50,13,13,1488.85,417,233,0.94,114.53,107.11,low,Q3,2,3,4,9
51,Customer_51,14,14,1727.04,630,403,0.67,123.36,82.24,low,Q4,1,4,4,9
52,Customer_52,21,21,3122.21,345,76,1.83,148.68,271.5,low,Q4,4,5,5,14
53,Customer_53,11,11,950.13,43,9,7.67,86.38,662.88,medium,Q2,5,2,2,9
54,Customer_54,13,13,2168.91,271,199,1.44,166.84,240.1,low,Q4,2,3,5,10
55,Customer_55,15,15,1614.29,375,284,1.2,107.62,129.14,low,Q3,1,4,4,9
56,Customer_56,17,17,841.21,594,206,0.86,49.48,42.49,low,Q2,2,5,2,9
57,Customer_57,8,8,1062.91,369,223,0.65,132.86,86.42,low,Q2,2,1,3,6
58,Customer_58,12,12,1775.47,121,52,2.98,147.96,440.2,medium,Q4,4,3,4,11
59,Customer_59,11,11,815.08,396,144,0.83,74.1,61.75,low,Q2,3,2,2,7
60,Customer_60,11,11,1736.49,484,373,0.68,157.86,107.63,low,Q4,1,2,4,7
61,Customer_61,13,13,2150.88,457,69,0.85,165.45,141.2,low,Q4,4,3,5,12
62,Customer_62,19,19,1290.48,538,99,1.06,67.92,71.96,low,Q3,3,5,3,11
63,Customer_63,9,9,1597.01,64,12,4.22,177.45,748.6,medium,Q3,5,1,4,10
64,Customer_64,11,11,514.91,235,25,1.4,46.81,65.73,low,Q1,5,2,1,8
65,Customer_65,8,8,450.5,110,52,2.18,56.31,122.86,medium,Q1,4,1,1,6
66,Customer_66,14,14,749.77,591,379,0.71,53.56,38.06,low,Q2,1,4,2,7
67,Customer_67,9,9,1472.12,417,53,0.65,163.57,105.91,low,Q3,4,1,4,9
68,Customer_68,14,14,1769.81,31,23,13.55,126.42,1712.72,high,Q4,5,4,4,13
69,Customer_69,7,7,340.03,419,144,0.5,48.58,24.35,low,Q1,3,1,1,5
70,Customer_70,8,8,746.0,595,57,0.4,93.25,37.61,low,Q1,4,1,2,7
71,Customer_71,9,9,1083.34,135,39,2.0,120.37,240.74,low,Q2,4,1,3,8
72,Customer_72,9,9,341.43,506,109,0.53,37.94,20.24,low,Q1,3,1,1,5
73,Customer_73,11,11,1779.52,431,181,0.77,161.77,123.86,low,Q4,2,2,5,9
74,Customer_74,9,9,1346.03,585,42,0.46,149.56,69.03,low,Q3,4,1,3,8
75,Customer_75,17,17,1756.22,191,142,2.67,103.31,275.85,medium,Q4,3,5,4,12
76,Customer_76,6,6,1049.43,231,122,0.78,174.9,136.29,low,Q2,3,1,3,7
77,Customer_77,13,13,1166.79,299,133,1.3,89.75,117.07,low,Q2,3,3,3,9
78,Customer_78,10,10,1775.37,300,163,1.0,177.54,177.54,low,Q4,2,2,4,8
79,Customer_79,11,11,1413.8,485,215,0.68,128.53,87.45,low,Q3,2,2,4,8
80,Customer_80,9,9,1110.37,491,221,0.55,123.37,67.84,low,Q2,2,1,3,6
81,Customer_81,11,11,557.95,281,75,1.17,50.72,59.57,low,Q1,4,2,1,7
82,Customer_82,11,11,1778.69,325,146,1.02,161.7,164.19,low,Q4,3,2,4,9
83,Customer_83,19,19,1733.96,367,239,1.55,91.26,141.74,low,Q4,2,5,4,11
84,Customer_84,8,8,401.17,82,12,2.93,50.15,146.77,medium,Q1,5,1,1,7
85,Customer_85,12,12,323.45,246,9,1.46,26.95,39.45,low,Q1,5,3,1,9
86,Customer_86,15,15,1676.43,217,74,2.07,111.76,231.76,medium,Q4,4,4,4,12
87,Customer_87,12,12,1280.96,409,253,0.88,106.75,93.96,low,Q3,2,3,3,8
88,Customer_88,9,9,1228.5,522,230,0.52,136.5,70.6,low,Q3,2,1,3,6
89,Customer_89,12,12,1955.88,70,7,5.14,162.99,838.23,medium,Q4,5,3,5,13
90,Customer_90,9,9,335.77,186,141,1.45,37.31,54.16,low,Q1,3,1,1,5
91,Customer_91,18,18,2490.88,44,9,12.27,138.38,1698.33,high,Q4,5,5,5,15
92,Customer_92,13,13,702.64,94,50,4.15,54.05,224.25,medium,Q1,4,3,2,9
93,Customer_93,12,12,1896.21,550,283,0.65,158.02,103.43,low,Q4,1,3,5,9
94,Customer_94,16,16,2431.28,373,122,1.29,151.96,195.55,low,Q4,3,5,5,13
95,Customer_95,13,13,1414.7,158,66,2.47,108.82,268.61,medium,Q3,4,3,4,11
96,Customer_96,14,14,1891.23,677,517,0.62,135.09,83.81,low,Q4,1,4,5,10
97,Customer_97,18,18,1327.04,501,29,1.08,73.72,79.46,low,Q3,5,5,3,13
98,Customer_98,11,11,1078.34,92,37,3.59,98.03,351.63,medium,Q2,4,2,3,9
99,Customer_99,4,4,609.41,168,83,0.71,152.35,108.82,low,Q1,4,1,1,6
100,Customer_100,15,15,1442.79,528,136,0.85,96.19,81.98,low,Q3,3,4,4,11
101,Customer_101,13,13,1045.96,622,496,0.63,80.46,50.45,low,Q2,1,3,3,7
102,Customer_102,11,11,1117.63,421,321,0.78,101.6,79.64,low,Q2,1,2,3,6
103,Customer_103,10,10,1533.79,704,342,0.43,153.38,65.36,low,Q3,1,2,4,7
104,Customer_104,10,10,769.57,448,145,0.67,76.96,51.53,low,Q2,3,2,2,7
105,Customer_105,12,12,623.2,318,71,1.13,51.93,58.79,low,Q1,4,3,1,8
106,Customer_106,9,9,1218.26,408,217,0.66,135.36,89.58,low,Q2,2,1,3,6
107,Customer_107,9,9,1377.24,519,301,0.52,153.03,79.61,low,Q3,1,1,4,6
108,Customer_108,13,13,527.78,260,132,1.5,40.6,60.9,low,Q1,3,3,1,7
109,Customer_109,15,15,932.71,70,36,6.43,62.18,399.73,medium,Q2,4,4,2,10
110,Customer_110,6,6,282.03,57,6,3.16,47.0,148.44,medium,Q1,5,1,1,7
111,Customer_111,12,12,947.17,164,19,2.2,78.93,173.26,medium,Q2,5,3,2,10
112,Customer_112,11,11,1042.85,230,108,1.43,94.8,136.02,low,Q2,3,2,3,8
113,Customer_113,14,14,1974.95,62,39,6.77,141.07,955.62,medium,Q4,4,4,5,13
114,Customer_114,13,13,1637.06,77,27,5.06,125.93,637.82,medium,Q3,5,3,4,12
115,Customer_115,11,11,1333.68,532,202,0.62,121.24,75.21,low,Q3,2,2,3,7
116,Customer_116,12,12,955.42,436,346,0.83,79.62,65.74,low,Q2,1,3,2,6
117,Customer_117,14,14,2175.94,603,19,0.7,155.42,108.26,low,Q4,5,4,5,14
118,Customer_118,14,14,1372.69,128,39,3.28,98.05,321.72,medium,Q3,4,4,4,12
119,Customer_119,16,16,2828.18,713,126,0.67,176.76,119.0,low,Q4,3,5,5,13
120,Customer_120,12,12,1479.5,576,451,0.62,123.29,77.06,low,Q3,1,3,4,8
121,Customer_121,18,18,802.28,642,173,0.84,44.57,37.49,low,Q2,2,5,2,9
122,Customer_122,10,10,1298.08,491,141,0.61,129.81,79.31,low,Q3,3,2,3,8
123,Customer_123,12,12,904.69,672,220,0.54,75.39,40.39,low,Q2,2,3,2,7
124,Customer_124,16,16,2102.09,34,26,14.12,131.38,1854.79,high,Q4,5,5,5,15
125,Customer_125,16,16,572.71,247,148,1.94,35.79,69.56,low,Q1,3,5,1,9
126,Customer_126,13,13,677.39,532,317,0.73,52.11,38.2,low,Q1,1,4,2,7
127,Customer_127,7,7,1103.47,427,1,0.49,157.64,77.53,low,Q2,5,1,3,9
128,Customer_128,14,14,842.98,422,190,1.0,60.21,59.93,low,Q2,2,4,2,8
129,Customer_129,14,14,2166.38,236,113,1.78,154.74,275.39,low,Q4,3,4,5,12
130,Customer_130,10,10,682.88,44,25,6.82,68.29,465.6,medium,Q1,5,2,2,9
131,Customer_131,15,15,1869.7,583,312,0.77,124.65,96.21,low,Q4,1,4,5,10
132,Customer_132,13,13,1723.71,490,117,0.8,132.59,105.53,low,Q4,3,4,4,11
133,Customer_133,13,13,1358.0,720,134,0.54,104.46,56.58,low,Q3,3,4,3,10
134,Customer_134,10,10,723.23,604,58,0.5,72.32,35.92,low,Q1,4,2,2,8
135,Customer_135,11,11,637.56,270,44,1.22,57.96,70.84,low,Q1,4,2,1,7
136,Customer_136,13,13,391.88,593,173,0.66,30.14,19.83,low,Q1,2,4,1,7
137,Customer_137,11,11,793.23,125,32,2.64,72.11,190.38,medium,Q2,5,2,2,9
138,Customer_138,15,15,1893.6,514,173,0.88,126.24,110.52,low,Q4,2,4,5,11
139,Customer_139,7,7,1193.06,436,317,0.48,170.44,82.09,low,Q2,1,1,3,5
140,Customer_140,10,10,1600.37,260,47,1.15,160.04,184.66,low,Q3,4,2,4,10
141,Customer_141,9,9,1293.66,684,149,0.39,143.74,56.74,low,Q3,3,1,3,7
142,Customer_142,11,11,1619.3,200,80,1.65,147.21,242.9,low,Q3,4,2,4,10
143,Customer_143,14,14,1793.02,570,374,0.74,128.07,94.37,low,Q4,1,4,5,10
144,Customer_144,6,6,392.07,65,21,2.77,65.34,180.96,medium,Q1,5,1,1,7
145,Customer_145,12,12,1987.38,554,203,0.65,165.62,107.62,low,Q4,2,3,5,10
146,Customer_146,14,14,1805.49,189,147,2.22,128.96,286.59,medium,Q4,3,4,5,12
147,Customer_147,12,12,1342.42,728,532,0.49,111.87,55.32,low,Q3,1,3,3,7
148,Customer_148,8,8,337.63,272,185,0.88,42.2,37.24,low,Q1,2,1,1,4
149,Customer_149,10,10,942.94,115,18,2.61,94.29,245.98,medium,Q2,5,2,2,9
150,Customer_150,8,8,770.84,607,47,0.4,96.36,38.1,low,Q2,4,1,2,7
151,Customer_151,15,15,2385.11,711,233,0.63,159.01,100.64,low,Q4,2,4,5,11
152,Customer_152,8,8,877.84,586,305,0.41,109.73,44.94,low,Q2,1,1,2,4
153,Customer_153,9,9,755.66,603,14,0.45,83.96,37.6,low,Q2,5,1,2,8
154,Customer_154,12,12,2116.85,675,143,0.53,176.4,94.08,low,Q4,3,3,5,11
155,Customer_155,13,13,548.1,57,31,6.84,42.16,288.47,medium,Q1,5,4,1,10
156,Customer_156,17,17,1538.42,649,513,0.79,90.5,71.11,low,Q3,1,5,4,10
157,Customer_157,12,12,378.17,585,373,0.62,31.51,19.39,low,Q1,1,3,1,5
158,Customer_158,11,11,1536.54,369,54,0.89,139.69,124.92,low,Q3,4,2,4,10
159,Customer_159,9,9,1505.72,360,259,0.75,167.3,125.48,low,Q3,2,1,4,7
160,Customer_160,12,12,820.87,669,471,0.54,68.41,36.81,low,Q2,1,3,2,6
161,Customer_161,9,9,1422.39,535,12,0.5,158.04,79.76,low,Q3,5,1,4,10
162,Customer_162,12,12,843.53,377,224,0.95,70.29,67.12,low,Q2,2,3,2,7
163,Customer_163,13,13,2160.2,502,272,0.78,166.17,129.1,low,Q4,2,4,5,11
164,Customer_164,10,10,1418.64,260,200,1.15,141.86,163.69,low,Q3,2,2,4,8
165,Customer_165,13,13,1946.89,219,102,1.78,149.76,266.7,low,Q4,3,4,5,12
166,Customer_166,16,16,444.66,254,152,1.89,27.79,52.52,low,Q1,3,5,1,9
167,Customer_167,14,14,2439.3,414,156,1.01,174.24,176.76,low,Q4,2,4,5,11
168,Customer_168,15,15,2064.51,406,8,1.11,137.63,152.55,low,Q4,5,4,5,14
169,Customer_169,7,7,505.65,312,122,0.67,72.24,48.62,low,Q1,3,1,1,5
170,Customer_170,15,15,2303.34,662,348,0.68,153.56,104.38,low,Q4,1,4,5,10
171,Customer_171,12,12,823.63,657,90,0.55,68.64,37.61,low,Q2,3,3,2,8
172,Customer_172,10,10,1602.77,288,136,1.04,160.28,166.96,low,Q3,3,2,4,9
173,Customer_173,9,9,382.05,388,186,0.7,42.45,29.54,low,Q1,2,1,1,4
174,Customer_174,12,12,1608.86,485,316,0.74,134.07,99.52,low,Q3,1,3,4,8
175,Customer_175,7,7,761.66,440,178,0.48,108.81,51.93,low,Q2,2,1,2,5
176,Customer_176,10,10,399.63,678,540,0.44,39.96,17.68,low,Q1,1,2,1,4
177,Customer_177,18,18,1124.88,347,220,1.56,62.49,97.25,low,Q2,2,5,3,10
178,Customer_178,19,19,511.53,706,41,0.81,26.92,21.74,low,Q1,4,5,1,10
179,Customer_179,5,5,488.3,254,192,0.59,97.66,57.67,low,Q1,2,1,1,4
180,Customer_180,14,14,1003.75,263,155,1.6,71.7,114.5,low,Q2,3,4,2,9
181,Customer_181,13,13,1530.69,713,502,0.55,117.75,64.4,low,Q3,1,4,4,9
182,Customer_182,13,13,923.93,693,145,0.56,71.07,40.0,low,Q2,3,4,2,9
183,Customer_183,10,10,714.87,403,201,0.74,71.49,53.22,low,Q1,2,2,2,6
184,Customer_184,15,15,2102.92,701,461,0.64,140.19,90.0,low,Q4,1,5,5,11
185,Customer_185,11,11,357.08,637,220,0.52,32.46,16.82,low,Q1,2,2,1,5
186,Customer_186,11,11,1814.44,501,240,0.66,164.95,108.65,low,Q4,2,2,5,9
187,Customer_187,15,15,2356.51,262,157,1.72,157.1,269.83,low,Q4,2,5,5,12
188,Customer_188,9,9,1156.59,721,558,0.37,128.51,48.12,low,Q2,1,1,3,5
189,Customer_189,14,14,1637.29,142,35,2.96,116.95,345.91,medium,Q3,5,4,4,13
190,Customer_190,8,8,1306.46,526,253,0.46,163.31,74.51,low,Q3,2,1,3,6
191,Customer_191,19,19,1020.8,471,82,1.21,53.73,65.02,low,Q2,4,5,3,12
192,Customer_192,13,13,484.12,593,371,0.66,37.24,24.49,low,Q1,1,4,1,6
193,Customer_193,11,11,683.36,297,197,1.11,62.12,69.03,low,Q1,2,2,2,6
194,Customer_194,9,9,1333.44,539,303,0.5,148.16,74.22,low,Q3,1,1,3,5
195,Customer_195,11,11,334.11,415,10,0.8,30.37,24.15,low,Q1,5,2,1,8
196,Customer_196,13,13,1499.36,416,312,0.94,115.34,108.13,low,Q3,1,4,4,9
197,Customer_197,13,13,2330.81,142,30,2.75,179.29,492.42,medium,Q4,5,4,5,14
198,Customer_198,12,12,1891.59,642,242,0.56,157.63,88.39,low,Q4,2,3,5,10
199,Customer_199,7,7,740.77,654,251,0.32,105.82,33.98,low,Q1,2,1,2,5
200,Customer_200,11,11,383.51,110,5,3.0,34.86,104.59,medium,Q1,5,2,1,8
201,Customer_201,12,12,1846.35,728,119,0.49,153.86,76.09,low,Q4,3,3,5,11
202,Customer_202,13,13,1531.94,142,33,2.75,117.84,323.65,medium,Q3,5,4,4,13
203,Customer_203,15,15,642.22,31,22,14.52,42.81,621.5,high,Q1,5,5,2,12
204,Customer_204,11,11,435.03,671,65,0.49,39.55,19.45,low,Q1,4,2,1,7
205,Customer_205,6,6,995.95,249,146,0.72,165.99,119.99,low,Q2,3,1,2,6
206,Customer_206,12,12,1544.71,595,224,0.61,128.73,77.88,low,Q3,2,3,4,9
207,Customer_207,10,10,1535.39,254,177,1.18,153.54,181.35,low,Q3,2,2,4,8
208,Customer_208,16,16,2579.87,414,267,1.16,161.24,186.95,low,Q4,2,5,5,12
209,Customer_209,7,7,795.37,432,341,0.49,113.62,55.23,low,Q2,1,1,2,4
210,Customer_210,12,12,1262.45,667,282,0.54,105.2,56.78,low,Q3,1,3,3,7
211,Customer_211,14,14,1284.03,159,63,2.64,91.72,242.27,medium,Q3,4,4,3,11
212,Customer_212,12,12,889.52,82,25,4.39,74.13,325.43,medium,Q2,5,3,2,10
213,Customer_213,10,10,923.62,713,461,0.42,92.36,38.86,low,Q2,1,2,2,5
214,Customer_214,6,6,869.71,701,105,0.26,144.95,37.22,low,Q2,3,1,2,6
215,Customer_215,7,7,828.09,445,99,0.47,118.3,55.83,low,Q2,3,1,2,6
216,Customer_216,14,14,2286.78,276,129,1.52,163.34,248.56,low,Q4,3,4,5,12
217,Customer_217,8,8,749.79,468,311,0.51,93.72,48.06,low,Q2,1,1,2,4
218,Customer_218,7,7,833.69,232,6,0.91,119.1,107.8,low,Q2,5,1,2,8
219,Customer_219,14,14,1719.94,213,95,1.97,122.85,242.25,low,Q4,3,4,4,11
220,Customer_220,19,19,2217.55,152,5,3.75,116.71,437.67,medium,Q4,5,5,5,15
221,Customer_221,12,12,1606.9,430,259,0.84,133.91,112.11,low,Q3,2,3,4,9
222,Customer_222,15,15,927.03,323,23,1.39,61.8,86.1,low,Q2,5,5,2,12
223,Customer_223,16,16,1670.66,309,229,1.55,104.42,162.2,low,Q4,2,5,4,11
224,Customer_224,17,17,699.63,639,53,0.8,41.15,32.85,low,Q1,4,5,2,11
225,Customer_225,16,16,1353.59,227,165,2.11,84.6,178.89,medium,Q3,2,5,3,10
226,Customer_226,13,13,1307.65,540,202,0.72,100.59,72.65,low,Q3,2,4,3,9
227,Customer_227,14,14,1765.33,173,83,2.43,126.1,306.13,medium,Q4,4,4,4,12
228,Customer_228,5,5,861.66,638,145,0.24,172.33,40.52,low,Q2,3,1,2,6
229,Customer_229,10,10,1181.01,230,85,1.3,118.1,154.04,low,Q2,4,2,3,9
230,Customer_230,15,15,2103.86,153,78,2.94,140.26,412.52,medium,Q4,4,5,5,14
231,Customer_231,12,12,1241.65,216,110,1.67,103.47,172.45,low,Q3,3,3,3,9
232,Customer_232,14,14,1726.01,355,1,1.18,123.29,145.86,low,Q4,5,4,4,13
233,Customer_233,14,14,503.92,493,51,0.85,35.99,30.66,low,Q1,4,4,1,9
234,Customer_234,14,14,902.03,378,173,1.11,64.43,71.59,low,Q2,2,4,2,8
235,Customer_235,12,12,973.05,689,446,0.52,81.09,42.37,low,Q2,1,3,2,6
236,Customer_236,14,14,1375.31,432,288,0.97,98.24,95.51,low,Q3,1,4,4,9
237,Customer_237,11,11,352.83,375,34,0.88,32.08,28.23,low,Q1,5,2,1,8
238,Customer_238,13,13,607.15,540,348,0.72,46.7,33.73,low,Q1,1,4,1,6
239,Customer_239,14,14,950.69,176,95,2.39,67.91,162.05,medium,Q2,3,4,2,9
240,Customer_240,11,11,1931.46,177,72,1.86,175.59,327.37,low,Q4,4,2,5,11
241,Customer_241,9,9,687.23,518,39,0.52,76.36,39.8,low,Q1,4,1,2,7
242,Customer_242,13,13,1296.31,669,154,0.58,99.72,58.13,low,Q3,3,4,3,10
243,Customer_243,18,18,997.11,580,250,0.93,55.4,51.57,low,Q2,2,5,2,9
244,Customer_244,12,12,1436.05,367,162,0.98,119.67,117.39,low,Q3,2,3,4,9
245,Customer_245,17,17,1164.6,670,438,0.76,68.51,52.15,low,Q2,1,5,3,9
246,Customer_246,12,12,685.01,502,118,0.72,57.08,40.94,low,Q1,3,3,2,8
247,Customer_247,13,13,1365.89,180,3,2.17,105.07,227.65,medium,Q3,5,4,3,12
248,Customer_248,9,9,232.68,444,306,0.61,25.85,15.72,low,Q1,1,1,1,3
249,Customer_249,10,10,261.88,327,54,0.92,26.19,24.03,low,Q1,4,2,1,7
250,Customer_250,11,11,648.51,640,236,0.52,58.96,30.4,low,Q1,2,2,2,6
251,Customer_251,6,6,184.15,292,133,0.62,30.69,18.92,low,Q1,3,1,1,5
252,Customer_252,12,12,500.93,173,57,2.08,41.74,86.87,medium,Q1,4,3,1,8
253,Customer_253,16,16,1240.37,375,112,1.28,77.52,99.23,low,Q3,3,5,3,11
254,Customer_254,9,9,1344.61,653,303,0.41,149.4,61.77,low,Q3,1,1,3,5
255,Customer_255,14,14,1591.35,601,407,0.7,113.67,79.44,low,Q3,1,4,4,9
256,Customer_256,8,8,835.71,31,15,7.74,104.46,808.75,medium,Q2,5,1,2,8
257,Customer_257,15,15,1057.36,333,229,1.35,70.49,95.26,low,Q2,2,5,3,10
258,Customer_258,12,12,2033.06,283,85,1.27,169.42,215.52,low,Q4,4,3,5,12
259,Customer_259,15,15,1298.06,681,75,0.66,86.54,57.18,low,Q3,4,5,3,12
260,Customer_260,17,17,654.49,482,103,1.06,38.5,40.74,low,Q1,3,5,2,10
261,Customer_261,7,7,844.52,66,38,3.18,120.65,383.87,medium,Q2,4,1,2,7
262,Customer_262,5,5,213.22,189,38,0.79,42.64,33.84,low,Q1,4,1,1,6
263,Customer_263,19,19,1491.68,38,18,15.0,78.51,1177.64,high,Q3,5,5,4,14
264,Customer_264,7,7,725.54,262,98,0.8,103.65,83.08,low,Q1,3,1,2,6
265,Customer_265,19,19,3049.59,128,82,4.45,160.5,714.75,medium,Q4,4,5,5,14
266,Customer_266,12,12,1218.0,688,335,0.52,101.5,53.11,low,Q2,1,3,3,7
267,Customer_267,21,21,2810.85,237,91,2.66,133.85,355.8,medium,Q4,3,5,5,13
268,Customer_268,20,20,3577.73,160,51,3.75,178.89,670.82,medium,Q4,4,5,5,14
269,Customer_269,17,17,771.47,433,308,1.18,45.38,53.45,low,Q2,1,5,2,8
270,Customer_270,12,12,811.0,181,79,1.99,67.58,134.42,low,Q2,4,3,2,9
271,Customer_271,14,14,1206.23,83,30,5.06,86.16,435.99,medium,Q2,5,4,3,12
272,Customer_272,14,14,1265.37,149,106,2.82,90.38,254.77,medium,Q3,3,4,3,10
273,Customer_273,11,11,975.79,702,81,0.47,88.71,41.7,low,Q2,4,2,2,8
274,Customer_274,8,8,1325.44,657,133,0.37,165.68,60.52,low,Q3,3,1,3,7
275,Customer_275,14,14,1899.45,616,285,0.68,135.68,92.51,low,Q4,1,4,5,10
276,Customer_276,13,13,1549.93,654,138,0.6,119.23,71.1,low,Q3,3,4,4,11
277,Customer_277,13,13,948.39,449,184,0.87,72.95,63.37,low,Q2,2,4,2,8
278,Customer_278,18,18,2748.38,451,330,1.2,152.69,182.82,low,Q4,1,5,5,11
279,Customer_279,14,14,2422.48,133,17,3.16,173.03,546.42,medium,Q4,5,4,5,14
280,Customer_280,14,14,2132.0,283,84,1.48,152.29,226.01,low,Q4,4,4,5,13
281,Customer_281,14,14,353.4,256,69,1.64,25.24,41.41,low,Q1,4,4,1,9
282,Customer_282,11,11,1360.06,141,34,2.34,123.64,289.37,medium,Q3,5,2,3,10
283,Customer_283,15,15,493.89,539,262,0.83,32.93,27.49,low,Q1,2,5,1,8
284,Customer_284,11,11,714.22,502,53,0.66,64.93,42.68,low,Q1,4,2,2,8
285,Customer_285,11,11,376.49,128,66,2.58,34.23,88.24,medium,Q1,4,2,1,7
286,Customer_286,7,7,830.12,182,126,1.15,118.59,136.83,low,Q2,3,1,2,6
287,Customer_287,11,11,1445.64,367,235,0.9,131.42,118.17,low,Q3,2,2,4,8
288,Customer_288,14,14,598.44,192,43,2.19,42.75,93.51,medium,Q1,4,4,1,9
289,Customer_289,11,11,929.45,710,111,0.46,84.5,39.27,low,Q2,3,2,2,7
290,Customer_290,11,11,1052.88,190,151,1.74,95.72,166.24,low,Q2,3,2,3,8
291,Customer_291,6,6,493.22,609,183,0.3,82.2,24.3,low,Q1,2,1,1,4
292,Customer_292,14,14,612.62,427,336,0.98,43.76,43.04,low,Q1,1,4,1,6
293,Customer_293,12,12,1079.24,306,95,1.18,89.94,105.81,low,Q2,3,3,3,9
294,Customer_294,16,16,2262.92,533,374,0.9,141.43,127.37,low,Q4,1,5,5,11
