day_of_week,hour,total_revenue,transaction_count,avg_amount
Sunday,16,479.96,3,159.99
Sunday,17,1060.67,3,353.56
Sunday,18,455.63,2,227.82
Sunday,20,1079.1,5,215.82
Sunday,21,995.1,4,248.77
Sunday,22,168.02,1,168.02
Sunday,23,141.25,3,47.08
Thursday,0,253.49,1,253.49
Thursday,1,528.48,3,176.16
Thursday,2,2315.54,8,289.44
Thursday,4,1568.38,5,313.68
Thursday,5,304.36,1,304.36
Thursday,6,1377.67,5,275.53
Thursday,7,1070.26,3,356.75
Thursday,8,1476.97,4,369.24
Thursday,9,340.15,2,170.08
Thursday,10,1096.19,3,365.4
Thursday,11,1053.44,5,210.69
Thursday,13,324.63,3,108.21
Thursday,14,730.54,2,365.27
Thursday,15,2386.1,6,397.68
Thursday,16,930.69,4,232.67
Thursday,17,1690.96,7,241.57
Thursday,18,790.15,3,263.38
Thursday,19,962.36,3,320.79
Thursday,20,611.37,2,305.68
Thursday,21,444.51,2,222.26
Thursday,22,661.1,2,330.55
Thursday,23,1048.18,5,209.64
Tuesday,1,672.71,3,224.24
Tuesday,2,423.79,1,423.79
Tuesday,3,854.41,3,284.8
Tuesday,4,189.04,1,189.04
Tuesday,5,12.21,1,12.21
Tuesday,6,710.72,3,236.91
Tuesday,7,690.8,2,345.4
Tuesday,8,1124.87,4,281.22
Tuesday,9,272.13,2,136.06
Tuesday,10,777.18,5,155.44
Tuesday,11,159.14,2,79.57
Tuesday,12,1222.36,3,407.45
Tuesday,13,682.05,3,227.35
Tuesday,14,1701.26,7,243.04
Tuesday,15,543.56,2,271.78
Tuesday,16,827.17,2,413.58
Tuesday,17,917.61,5,183.52
Tuesday,18,299.42,2,149.71
Tuesday,19,493.39,2,246.7
Tuesday,20,265.79,1,265.79
Tuesday,21,1789.69,6,298.28
Tuesday,22,1198.16,5,239.63
Tuesday,23,315.13,1,315.13
Wednesday,0,1188.85,6,198.14
Wednesday,1,632.48,2,316.24
Wednesday,2,951.82,5,190.36
Wednesday,3,1125.25,5,225.05
Wednesday,4,800.36,4,200.09
Wednesday,5,475.5,2,237.75
Wednesday,6,684.36,2,342.18
Wednesday,7,431.16,2,215.58
Wednesday,8,109.02,1,109.02
Wednesday,9,1084.28,4,271.07
Wednesday,10,812.91,3,270.97
Wednesday,11,1826.69,5,365.34
Wednesday,12,1689.2,5,337.84
Wednesday,13,1597.35,4,399.34
Wednesday,14,422.58,1,422.58
Wednesday,15,453.04,3,151.01
Wednesday,16,134.55,2,67.28
Wednesday,17,27.56,1,27.56
Wednesday,18,496.08,4,124.02
Wednesday,19,1567.47,6,261.24
Wednesday,20,443.98,2,221.99
Wednesday,21,1860.9,8,232.61
Wednesday,22,840.01,5,168.0
Wednesday,23,1618.79,5,323.76
