order_id,customer_id,segment,region,order_amount,order_status,order_date,churn_risk
50039,779,SMB,South,73.73,completed,2024-01-02,High
50040,398,Starter,South,147.69,completed,2024-01-02,High
50041,591,Mid-Market,Central,25.35,completed,2024-01-02,High
50042,706,Enterprise,North,280.5,completed,2024-01-02,High
50043,694,Mid-Market,West,138.96,completed,2024-01-02,High
50044,91,Mid-Market,West,181.68,pending,2024-01-02,High
50045,760,SMB,West,197.15,pending,2024-01-02,High
50046,826,Enterprise,Central,66.69,shipped,2024-01-02,High
50047,376,Starter,Central,110.34,completed,2024-01-02,High
50048,98,Starter,West,484.38,shipped,2024-01-02,High
50049,316,Starter,West,233.32,completed,2024-01-02,High
50050,772,SMB,West,538.78,completed,2024-01-02,High
50051,456,Starter,West,220.71,completed,2024-01-02,High
50052,45,Starter,Central,43.96,pending,2024-01-02,High
50053,546,Starter,South,25.01,shipped,2024-01-02,High
50054,1006,,,144.29,completed,2024-01-02,High
50055,10,SMB,East,81.43,shipped,2024-01-02,High
50056,140,Enterprise,North,63.33,completed,2024-01-02,High
50057,548,Starter,North,261.92,shipped,2024-01-02,High
50058,822,Mid-Market,Central,83.59,completed,2024-01-02,High
50059,617,Mid-Market,West,72.19,completed,2024-01-02,High
50060,401,Mid-Market,Central,299.56,completed,2024-01-02,High
50061,314,Enterprise,East,295.9,completed,2024-01-02,High
50062,673,Mid-Market,South,81.09,completed,2024-01-02,High
50063,657,Starter,West,283.01,completed,2024-01-02,High
50064,758,Starter,South,300.35,completed,2024-01-02,High
50065,610,Starter,North,97.73,shipped,2024-01-03,High
50066,45,Starter,Central,25.32,pending,2024-01-03,High
50067,516,Mid-Market,West,15.24,completed,2024-01-03,High
50068,863,Starter,South,126.13,cancelled,2024-01-03,High
50069,694,Mid-Market,West,78.26,completed,2024-01-03,High
50070,125,Mid-Market,West,893.12,shipped,2024-01-03,High
50071,147,Starter,East,237.03,completed,2024-01-03,High
50072,685,Enterprise,Central,229.87,completed,2024-01-03,High
50073,217,Starter,Central,480.98,completed,2024-01-03,High
50074,166,SMB,South,343.02,shipped,2024-01-03,High
50075,881,Mid-Market,Central,72.45,completed,2024-01-03,High
50076,120,Starter,Central,42.23,shipped,2024-01-03,High
50077,427,Starter,West,220.5,completed,2024-01-03,High
50078,183,Enterprise,Central,86.29,completed,2024-01-03,High
50079,615,SMB,Central,111.13,completed,2024-01-03,High
50080,129,Mid-Market,East,164.3,shipped,2024-01-03,High
50081,681,SMB,North,372.69,completed,2024-01-03,High
50082,753,Starter,East,96.47,shipped,2024-01-03,High
50083,303,Starter,South,244.4,completed,2024-01-03,High
50084,118,Mid-Market,South,61.87,shipped,2024-01-03,High
50085,598,Mid-Market,South,194.59,completed,2024-01-03,High
50086,575,SMB,North,15.24,completed,2024-01-03,High
50087,105,Enterprise,East,322.78,completed,2024-01-03,High
50088,508,SMB,East,19.63,completed,2024-01-03,High
50089,846,Starter,South,202.11,completed,2024-01-03,High
50090,331,Starter,Central,22.1,pending,2024-01-03,High
50091,246,Enterprise,East,61.44,completed,2024-01-03,High
50092,625,Starter,South,118.14,completed,2024-01-03,High
50093,266,SMB,Central,96.69,completed,2024-01-03,High
50094,151,Enterprise,East,46.95,completed,2024-01-03,High
50095,56,Enterprise,South,75.93,completed,2024-01-03,High
50096,577,Mid-Market,North,210.13,completed,2024-01-03,High
50097,457,Mid-Market,East,180.96,shipped,2024-01-04,High
50098,188,Starter,East,26.18,completed,2024-01-04,High
50099,9,Starter,West,221.34,shipped,2024-01-04,High
50100,307,Starter,North,23.18,completed,2024-01-04,High
50101,208,Starter,East,132.44,completed,2024-01-04,High
50102,540,Mid-Market,Central,60.18,completed,2024-01-04,High
50103,651,Mid-Market,Central,147.9,shipped,2024-01-04,High
50104,249,Enterprise,Central,60.44,completed,2024-01-04,High
50105,388,Mid-Market,East,644.54,shipped,2024-01-04,High
50106,452,Starter,East,70.6,completed,2024-01-04,High
50107,517,Starter,West,56.55,shipped,2024-01-04,High
50108,60,Starter,South,63.96,completed,2024-01-04,High
50109,101,Mid-Market,South,355.19,completed,2024-01-04,High
50110,47,Starter,Central,166.68,completed,2024-01-04,High
50111,83,Starter,Central,211.78,completed,2024-01-04,High
50112,308,Starter,North,390.17,completed,2024-01-04,High
50113,87,SMB,North,379.35,completed,2024-01-04,High
50114,19,Starter,South,216.45,shipped,2024-01-04,High
50115,161,Starter,South,48.06,completed,2024-01-04,High
50116,161,Starter,South,293.08,completed,2024-01-04,High
50117,759,SMB,Central,49.18,completed,2024-01-04,High
50118,60,Starter,South,218.74,completed,2024-01-04,High
50119,172,Mid-Market,Central,188.56,completed,2024-01-04,High
50120,471,Mid-Market,North,228.37,completed,2024-01-04,High
50121,875,Mid-Market,West,129.11,shipped,2024-01-04,High
50122,283,Starter,West,167.72,completed,2024-01-04,High
50123,439,SMB,South,474.67,completed,2024-01-04,High
50124,125,Mid-Market,West,30.99,completed,2024-01-04,High
50125,23,Starter,South,70.41,completed,2024-01-04,High
50126,726,SMB,Central,156.76,completed,2024-01-04,High
50127,292,Mid-Market,East,513.86,completed,2024-01-04,High
50128,703,Starter,North,30.07,completed,2024-01-04,High
50129,315,SMB,Central,18.42,completed,2024-01-05,High
50130,815,SMB,West,23.6,cancelled,2024-01-05,High
50131,235,Mid-Market,West,23.07,completed,2024-01-05,High
50132,572,SMB,North,372.6,completed,2024-01-05,High
50133,1011,,,206.62,completed,2024-01-05,High
50134,605,Mid-Market,North,184.56,completed,2024-01-05,High
50135,218,SMB,East,125.9,pending,2024-01-05,High
50136,56,Enterprise,South,243.46,completed,2024-01-05,High
50137,365,Enterprise,West,40.38,completed,2024-01-05,High
50138,877,SMB,East,89.62,shipped,2024-01-05,High
50139,581,Starter,Central,116.0,completed,2024-01-05,High
50140,540,Mid-Market,Central,32.55,cancelled,2024-01-05,High
50141,324,Starter,West,96.58,pending,2024-01-05,High
50142,290,Starter,North,72.08,completed,2024-01-05,High
50143,3,SMB,Central,20.43,completed,2024-01-05,High
50144,141,Enterprise,West,37.06,completed,2024-01-05,High
50145,218,SMB,East,231.61,completed,2024-01-05,High
50146,464,Starter,West,17.73,completed,2024-01-05,High
50147,850,Starter,South,423.29,completed,2024-01-05,High
50148,533,Enterprise,Central,28.56,pending,2024-01-05,High
50149,446,Enterprise,South,255.85,completed,2024-01-05,High
50150,188,Starter,East,358.33,completed,2024-01-05,High
50151,660,Starter,West,439.88,completed,2024-01-05,High
50152,869,SMB,North,318.15,pending,2024-01-05,High
50153,14,Mid-Market,South,65.86,completed,2024-01-05,High
50154,1004,,,75.76,completed,2024-01-05,High
50155,755,Mid-Market,East,98.41,shipped,2024-01-05,High
50156,235,Mid-Market,West,37.5,shipped,2024-01-05,High
50157,20,Starter,Central,18.38,pending,2024-01-05,High
50158,467,Starter,South,320.02,shipped,2024-01-05,High
50159,748,Starter,East,136.16,completed,2024-01-05,High
50160,393,Starter,East,155.75,completed,2024-01-05,High
50161,275,Starter,West,407.57,completed,2024-01-06,High
50162,390,SMB,West,179.1,completed,2024-01-06,High
50163,656,Mid-Market,North,191.09,completed,2024-01-06,High
50164,716,Enterprise,West,246.95,completed,2024-01-06,High
50165,201,Starter,East,33.55,pending,2024-01-06,High
50166,304,Starter,West,81.98,completed,2024-01-06,High
50167,134,Starter,North,532.28,completed,2024-01-06,High
50168,753,Starter,East,399.46,completed,2024-01-06,High
50169,891,SMB,West,338.22,pending,2024-01-06,High
50170,471,Mid-Market,North,105.25,completed,2024-01-06,High
50171,233,Starter,Central,306.94,completed,2024-01-06,High
50172,689,SMB,South,22.44,completed,2024-01-06,High
50173,819,Mid-Market,West,39.12,completed,2024-01-06,High
50174,621,Mid-Market,North,95.16,completed,2024-01-06,High
50175,553,Starter,Central,114.07,pending,2024-01-06,High
50176,439,SMB,South,60.88,cancelled,2024-01-06,High
50177,832,Starter,North,81.12,cancelled,2024-01-06,High
50178,554,Starter,West,41.65,completed,2024-01-06,High
50179,619,SMB,North,115.75,pending,2024-01-06,High
50180,48,Starter,South,251.87,cancelled,2024-01-06,High
50181,640,Starter,West,177.42,pending,2024-01-06,High
50182,31,Starter,South,32.11,completed,2024-01-06,High
50183,598,Mid-Market,South,115.29,shipped,2024-01-06,High
50184,753,Starter,East,194.42,completed,2024-01-06,High
50185,471,Mid-Market,North,128.22,pending,2024-01-06,High
50186,1001,,,89.56,completed,2024-01-06,High
50187,838,Starter,South,160.9,completed,2024-01-06,High
50188,725,Starter,South,534.33,cancelled,2024-01-06,High
50189,247,Starter,South,29.96,completed,2024-01-06,High
50190,640,Starter,West,89.15,completed,2024-01-06,High
50191,479,Enterprise,North,93.28,cancelled,2024-01-06,High
50192,689,SMB,South,144.05,cancelled,2024-01-06,High
50193,1002,,,39.76,completed,2024-01-07,High
50194,732,SMB,Central,44.15,pending,2024-01-07,High
50195,891,SMB,West,65.4,completed,2024-01-07,High
50196,664,Mid-Market,South,483.09,completed,2024-01-07,High
50197,163,Starter,East,213.7,completed,2024-01-07,High
50198,382,Starter,South,177.57,completed,2024-01-07,High
50199,536,Enterprise,East,269.71,completed,2024-01-07,High
50200,283,Starter,West,35.47,completed,2024-01-07,High
50201,50,Mid-Market,Central,309.2,pending,2024-01-07,High
50202,1019,,,150.52,completed,2024-01-07,High
50203,737,Starter,East,76.27,pending,2024-01-07,High
50204,72,Mid-Market,South,268.8,shipped,2024-01-07,High
50205,257,Enterprise,Central,258.35,completed,2024-01-07,High
50206,357,Mid-Market,North,295.34,pending,2024-01-07,High
50207,619,SMB,North,33.41,pending,2024-01-07,High
50208,376,Starter,Central,537.82,completed,2024-01-07,High
50209,572,SMB,North,496.44,completed,2024-01-07,High
50210,520,Mid-Market,West,81.35,shipped,2024-01-07,High
50211,377,SMB,East,25.22,shipped,2024-01-07,High
50212,72,Mid-Market,South,42.42,pending,2024-01-07,High
50213,605,Mid-Market,North,755.69,completed,2024-01-07,High
50214,91,Mid-Market,West,139.18,completed,2024-01-07,High
50215,508,SMB,East,81.15,completed,2024-01-07,High
50216,782,Starter,Central,65.99,completed,2024-01-07,High
50217,790,Enterprise,South,59.56,completed,2024-01-07,High
50218,899,Mid-Market,South,178.66,completed,2024-01-07,High
50219,61,Starter,East,96.55,completed,2024-01-07,High
50220,691,Starter,West,519.63,shipped,2024-01-07,High
50221,780,Starter,East,187.73,completed,2024-01-07,High
50222,701,Starter,North,250.56,completed,2024-01-07,High
50223,836,Starter,East,66.95,shipped,2024-01-07,High
50224,326,SMB,West,27.37,cancelled,2024-01-07,High
50225,160,SMB,East,115.36,completed,2024-01-08,High
50226,670,Starter,Central,71.66,completed,2024-01-08,High
50227,516,Mid-Market,West,48.86,pending,2024-01-08,High
50228,744,Starter,South,472.5,completed,2024-01-08,High
50229,268,SMB,North,103.04,shipped,2024-01-08,High
50230,93,SMB,South,43.8,completed,2024-01-08,High
50231,100,Mid-Market,Central,48.22,completed,2024-01-08,High
50232,618,Starter,Central,64.42,completed,2024-01-08,High
50233,255,Mid-Market,Central,1108.19,completed,2024-01-08,High
50234,420,SMB,West,61.8,completed,2024-01-08,High
50235,681,SMB,North,74.8,completed,2024-01-08,High
50236,262,Enterprise,South,176.53,cancelled,2024-01-08,High
50237,126,Starter,South,67.21,completed,2024-01-08,High
50238,806,SMB,Central,51.46,completed,2024-01-08,High
50239,646,SMB,East,40.91,pending,2024-01-08,High
50240,265,SMB,South,71.24,completed,2024-01-08,High
50241,273,SMB,Central,31.79,shipped,2024-01-08,High
50242,792,Starter,West,17.82,cancelled,2024-01-08,High
50243,726,SMB,Central,259.94,completed,2024-01-08,High
50244,607,Mid-Market,Central,37.26,completed,2024-01-08,High
50245,347,Starter,North,239.4,pending,2024-01-08,High
50246,741,Starter,Central,254.58,completed,2024-01-08,High
50247,331,Starter,Central,130.8,completed,2024-01-08,High
50248,155,Enterprise,South,70.59,pending,2024-01-08,High
50249,704,Mid-Market,South,38.5,shipped,2024-01-08,High
50250,410,Mid-Market,Central,215.23,cancelled,2024-01-08,High
50251,294,Starter,North,152.96,completed,2024-01-08,High
50252,615,SMB,Central,174.83,completed,2024-01-08,High
50253,883,Mid-Market,Central,16.31,completed,2024-01-08,High
50254,171,Starter,Central,408.66,completed,2024-01-08,High
50255,571,Starter,South,25.29,completed,2024-01-08,High
50256,124,Mid-Market,East,83.55,completed,2024-01-08,High
50257,698,Starter,Central,92.3,completed,2024-01-09,High
50258,623,Starter,East,15.2,completed,2024-01-09,High
50259,441,Mid-Market,East,118.1,completed,2024-01-09,High
50260,101,Mid-Market,South,224.64,completed,2024-01-09,High
50261,74,SMB,West,274.97,pending,2024-01-09,High
50262,146,Mid-Market,East,332.29,completed,2024-01-09,High
50263,212,Starter,South,115.33,shipped,2024-01-09,High
50264,185,Starter,East,164.4,pending,2024-01-09,High
50265,800,Enterprise,North,27.43,completed,2024-01-09,High
50266,65,Starter,North,115.43,completed,2024-01-09,High
50267,494,Mid-Market,Central,40.23,completed,2024-01-09,High
50268,102,Starter,North,84.22,pending,2024-01-09,High
50269,726,SMB,Central,74.92,completed,2024-01-09,High
50270,366,Starter,South,97.63,shipped,2024-01-09,High
50271,693,Starter,North,142.17,cancelled,2024-01-09,High
50272,247,Starter,South,364.77,cancelled,2024-01-09,High
50273,878,Starter,North,90.25,completed,2024-01-09,High
50274,349,Starter,West,610.54,shipped,2024-01-09,High
50275,201,Starter,East,228.46,cancelled,2024-01-09,High
50276,558,Mid-Market,South,122.46,completed,2024-01-09,High
50277,120,Starter,Central,169.93,completed,2024-01-09,High
50278,471,Mid-Market,North,31.18,completed,2024-01-09,High
50279,250,SMB,West,294.19,completed,2024-01-09,High
50280,301,Mid-Market,North,145.97,pending,2024-01-09,High
50281,888,Mid-Market,Central,656.03,completed,2024-01-09,High
50282,250,SMB,West,166.77,pending,2024-01-09,High
50283,484,Starter,Central,284.47,shipped,2024-01-09,High
50284,566,Starter,East,256.24,completed,2024-01-09,High
50285,610,Starter,North,78.57,completed,2024-01-09,High
50286,837,Enterprise,West,60.09,completed,2024-01-09,High
50287,559,SMB,Central,99.45,pending,2024-01-09,High
50288,198,SMB,East,109.45,completed,2024-01-09,High
50289,283,Starter,West,56.18,completed,2024-01-10,High
50290,453,Starter,East,352.5,completed,2024-01-10,High
50291,796,SMB,Central,132.31,pending,2024-01-10,High
50292,819,Mid-Market,West,590.57,pending,2024-01-10,High
50293,398,Starter,South,264.12,completed,2024-01-10,High
50294,718,Enterprise,South,136.69,completed,2024-01-10,High
50295,507,Enterprise,North,455.73,shipped,2024-01-10,High
50296,25,Starter,Central,120.44,completed,2024-01-10,High
50297,650,Starter,East,342.2,completed,2024-01-10,High
50298,628,SMB,South,81.51,completed,2024-01-10,High
50299,496,Starter,West,86.38,completed,2024-01-10,High
50300,825,Starter,South,96.23,completed,2024-01-10,High
50301,621,Mid-Market,North,133.66,completed,2024-01-10,High
50302,396,Enterprise,South,135.94,completed,2024-01-10,High
50303,401,Mid-Market,Central,117.9,completed,2024-01-10,High
50304,56,Enterprise,South,69.79,completed,2024-01-10,High
50305,1013,,,408.02,completed,2024-01-10,High
50306,163,Starter,East,148.22,completed,2024-01-10,High
50307,891,SMB,West,93.57,completed,2024-01-10,High
50308,822,Mid-Market,Central,172.98,cancelled,2024-01-10,High
50309,603,Mid-Market,South,234.13,completed,2024-01-10,High
50310,286,Mid-Market,Central,500.59,pending,2024-01-10,High
50311,266,SMB,Central,118.84,completed,2024-01-10,High
50312,718,Enterprise,South,32.83,completed,2024-01-10,High
50313,59,Mid-Market,Central,102.18,completed,2024-01-10,High
50314,456,Starter,West,112.79,completed,2024-01-10,High
50315,900,Mid-Market,West,355.95,shipped,2024-01-10,High
50316,350,Starter,North,90.33,completed,2024-01-10,High
50317,435,Mid-Market,West,474.68,completed,2024-01-10,High
50318,546,Starter,South,114.58,pending,2024-01-10,High
50319,118,Mid-Market,South,561.19,completed,2024-01-10,High
50320,448,SMB,South,16.23,completed,2024-01-10,High
50321,722,Mid-Market,West,358.62,completed,2024-01-11,High
50322,837,Enterprise,West,416.31,completed,2024-01-11,High
50323,154,Starter,West,501.71,completed,2024-01-11,High
50324,143,Starter,South,16.97,completed,2024-01-11,High
50325,518,SMB,East,43.26,completed,2024-01-11,High
50326,563,Mid-Market,South,174.1,completed,2024-01-11,High
50327,576,Enterprise,West,18.87,shipped,2024-01-11,High
50328,220,SMB,North,24.86,shipped,2024-01-11,High
50329,669,Mid-Market,East,52.48,cancelled,2024-01-11,High
50330,616,Enterprise,East,122.75,pending,2024-01-11,High
50331,64,Starter,Central,133.42,pending,2024-01-11,High
50332,304,Starter,West,20.23,shipped,2024-01-11,High
50333,387,Starter,East,43.02,completed,2024-01-11,High
50334,451,SMB,South,118.88,completed,2024-01-11,High
50335,879,Mid-Market,North,150.19,completed,2024-01-11,High
50336,196,Starter,South,39.1,completed,2024-01-11,High
50337,533,Enterprise,Central,91.33,pending,2024-01-11,High
50338,109,Mid-Market,East,367.14,completed,2024-01-11,High
50339,504,SMB,North,1036.77,completed,2024-01-11,High
50340,134,Starter,North,668.92,completed,2024-01-11,High
50341,710,Starter,South,335.15,completed,2024-01-11,High
50342,187,SMB,North,90.29,completed,2024-01-11,High
50343,22,Mid-Market,East,189.03,completed,2024-01-11,High
50344,794,Starter,West,95.83,completed,2024-01-11,High
50345,48,Starter,South,171.84,completed,2024-01-11,High
50346,258,Starter,East,70.54,completed,2024-01-11,High
50347,699,Mid-Market,Central,154.79,completed,2024-01-11,High
50348,630,Starter,North,126.27,pending,2024-01-11,High
50349,714,Starter,South,18.72,completed,2024-01-11,High
50350,864,Starter,West,249.6,completed,2024-01-11,High
50351,374,Starter,North,16.8,cancelled,2024-01-11,High
50352,674,Starter,West,67.04,completed,2024-01-11,High
50353,790,Enterprise,South,15.89,completed,2024-01-12,High
50354,294,Starter,North,85.79,completed,2024-01-12,High
50355,726,SMB,Central,24.79,shipped,2024-01-12,High
50356,455,Mid-Market,Central,382.16,completed,2024-01-12,High
50357,192,SMB,East,95.6,completed,2024-01-12,High
50358,584,Starter,West,107.29,shipped,2024-01-12,High
50359,605,Mid-Market,North,79.58,completed,2024-01-12,High
50360,14,Mid-Market,South,163.13,pending,2024-01-12,High
50361,261,Starter,East,245.16,completed,2024-01-12,High
50362,662,Enterprise,Central,171.68,completed,2024-01-12,High
50363,540,Mid-Market,Central,221.87,shipped,2024-01-12,High
50364,204,SMB,North,369.63,completed,2024-01-12,High
50365,875,Mid-Market,West,313.77,pending,2024-01-12,High
50366,783,Starter,South,183.16,cancelled,2024-01-12,High
50367,571,Starter,South,51.24,completed,2024-01-12,High
50368,754,Starter,West,167.29,pending,2024-01-12,High
50369,607,Mid-Market,Central,120.81,completed,2024-01-12,High
50370,683,Mid-Market,West,204.46,pending,2024-01-12,High
50371,804,Starter,West,283.4,completed,2024-01-12,High
50372,12,Enterprise,North,218.64,completed,2024-01-12,High
50373,13,SMB,Central,296.17,completed,2024-01-12,High
50374,117,SMB,North,24.9,completed,2024-01-12,High
50375,534,Starter,North,19.82,completed,2024-01-12,High
50376,59,Mid-Market,Central,59.86,pending,2024-01-12,High
50377,450,Mid-Market,West,361.39,pending,2024-01-12,High
50378,293,SMB,East,275.3,completed,2024-01-12,High
50379,21,Starter,North,187.2,completed,2024-01-12,High
50380,171,Starter,Central,195.98,pending,2024-01-12,High
50381,714,Starter,South,209.56,completed,2024-01-12,High
50382,8,SMB,North,443.66,completed,2024-01-12,High
50383,335,Mid-Market,North,282.74,completed,2024-01-12,High
50384,518,SMB,East,161.48,completed,2024-01-12,High
50385,147,Starter,East,179.36,completed,2024-01-13,High
50386,89,SMB,North,51.07,shipped,2024-01-13,High
50387,302,Starter,West,175.64,completed,2024-01-13,High
50388,1016,,,97.92,completed,2024-01-13,High
50389,421,SMB,South,39.9,pending,2024-01-13,High
50390,765,Mid-Market,North,261.3,completed,2024-01-13,High
50391,611,Mid-Market,Central,122.08,completed,2024-01-13,High
50392,672,SMB,East,583.64,completed,2024-01-13,High
50393,288,Starter,West,64.63,completed,2024-01-13,High
50394,367,Enterprise,South,113.28,completed,2024-01-13,High
50395,5,Mid-Market,Central,104.13,completed,2024-01-13,High
50396,393,Starter,East,34.31,completed,2024-01-13,High
50397,154,Starter,West,98.3,completed,2024-01-13,High
50398,589,Mid-Market,North,65.86,completed,2024-01-13,High
50399,598,Mid-Market,South,41.21,shipped,2024-01-13,High
50400,600,Mid-Market,West,64.73,completed,2024-01-13,High
50401,41,Mid-Market,South,54.84,completed,2024-01-13,High
50402,393,Starter,East,213.68,pending,2024-01-13,High
50403,441,Mid-Market,East,19.69,completed,2024-01-13,High
50404,639,Starter,North,159.14,completed,2024-01-13,High
50405,751,Mid-Market,North,229.48,completed,2024-01-13,High
50406,137,Starter,Central,113.3,pending,2024-01-13,High
50407,833,Mid-Market,North,417.28,completed,2024-01-13,High
50408,776,Mid-Market,West,199.59,completed,2024-01-13,High
50409,20,Starter,Central,221.7,completed,2024-01-13,High
50410,603,Mid-Market,South,47.9,completed,2024-01-13,High
50411,376,Starter,Central,240.29,shipped,2024-01-13,High
50412,504,SMB,North,282.65,completed,2024-01-13,High
50413,262,Enterprise,South,82.24,completed,2024-01-13,High
50414,855,Mid-Market,West,51.0,cancelled,2024-01-13,High
50415,425,Mid-Market,Central,87.93,completed,2024-01-13,High
50416,537,SMB,West,216.84,completed,2024-01-13,High
50417,840,Starter,South,96.1,completed,2024-01-14,High
50418,223,Mid-Market,West,215.14,shipped,2024-01-14,High
50419,429,Starter,Central,33.08,shipped,2024-01-14,High
50420,26,SMB,South,260.99,pending,2024-01-14,High
50421,887,Starter,West,58.8,completed,2024-01-14,High
50422,760,SMB,West,57.94,completed,2024-01-14,High
50423,310,Starter,Central,148.88,completed,2024-01-14,High
50424,717,SMB,West,25.9,pending,2024-01-14,High
50425,513,Enterprise,North,19.0,completed,2024-01-14,High
50426,89,SMB,North,60.37,completed,2024-01-14,High
50427,888,Mid-Market,Central,130.85,shipped,2024-01-14,High
50428,76,SMB,North,372.27,completed,2024-01-14,High
50429,207,Mid-Market,South,296.04,completed,2024-01-14,High
50430,462,Starter,East,116.13,pending,2024-01-14,High
50431,780,Starter,East,20.66,completed,2024-01-14,High
50432,248,Enterprise,South,129.94,completed,2024-01-14,High
50433,195,Starter,Central,198.01,completed,2024-01-14,High
50434,228,Starter,North,77.14,completed,2024-01-14,High
50435,528,Starter,North,32.66,completed,2024-01-14,High
50436,188,Starter,East,63.98,completed,2024-01-14,High
50437,843,Mid-Market,West,236.49,completed,2024-01-14,High
50438,645,Mid-Market,West,79.9,pending,2024-01-14,High
50439,752,Enterprise,North,265.68,completed,2024-01-14,High
50440,794,Starter,West,72.74,completed,2024-01-14,High
50441,447,Enterprise,West,41.79,completed,2024-01-14,High
50442,217,Starter,Central,100.86,shipped,2024-01-14,High
50443,503,Starter,North,105.3,completed,2024-01-14,High
50444,304,Starter,West,17.44,shipped,2024-01-14,High
50445,509,Enterprise,Central,33.67,shipped,2024-01-14,High
50446,889,Mid-Market,West,45.67,pending,2024-01-14,High
50447,825,Starter,South,33.09,shipped,2024-01-14,High
50448,169,Mid-Market,Central,77.67,completed,2024-01-14,High
50449,835,Starter,East,516.25,shipped,2024-01-15,High
50450,639,Starter,North,121.76,pending,2024-01-15,High
50451,809,Starter,Central,163.15,cancelled,2024-01-15,High
50452,634,Starter,South,81.1,completed,2024-01-15,High
50453,663,Starter,East,73.62,completed,2024-01-15,High
50454,550,SMB,South,18.51,completed,2024-01-15,High
50455,250,SMB,West,119.07,completed,2024-01-15,High
50456,625,Starter,South,114.13,shipped,2024-01-15,High
50457,1019,,,40.77,cancelled,2024-01-15,High
50458,503,Starter,North,231.79,completed,2024-01-15,High
50459,112,Mid-Market,East,116.79,pending,2024-01-15,High
50460,263,Mid-Market,South,77.1,completed,2024-01-15,High
50461,701,Starter,North,38.83,completed,2024-01-15,High
50462,318,Mid-Market,West,135.5,completed,2024-01-15,High
50463,646,SMB,East,224.64,completed,2024-01-15,High
50464,270,Starter,Central,64.69,pending,2024-01-15,High
50465,147,Starter,East,52.04,completed,2024-01-15,High
50466,189,Starter,East,125.7,completed,2024-01-15,High
50467,447,Enterprise,West,40.32,completed,2024-01-15,High
50468,820,Starter,West,179.77,completed,2024-01-15,High
50469,781,Starter,West,154.46,pending,2024-01-15,High
50470,359,Enterprise,North,28.67,completed,2024-01-15,High
50471,273,SMB,Central,20.58,completed,2024-01-15,High
50472,147,Starter,East,160.25,shipped,2024-01-15,High
50473,726,SMB,Central,67.28,completed,2024-01-15,High
50474,440,Mid-Market,North,28.56,shipped,2024-01-15,High
50475,294,Starter,North,228.71,completed,2024-01-15,High
50476,384,SMB,South,71.54,completed,2024-01-15,High
50477,1008,,,107.32,cancelled,2024-01-15,High
50478,103,Starter,West,55.54,shipped,2024-01-15,High
50479,813,Mid-Market,North,163.05,completed,2024-01-15,High
50480,511,Starter,West,68.82,completed,2024-01-15,High
50481,877,SMB,East,531.4,pending,2024-01-16,High
50482,304,Starter,West,197.08,completed,2024-01-16,High
50483,92,SMB,East,37.05,completed,2024-01-16,High
50484,727,Mid-Market,North,95.86,completed,2024-01-16,High
50485,201,Starter,East,88.02,completed,2024-01-16,High
50486,314,Enterprise,East,129.62,completed,2024-01-16,High
50487,586,Mid-Market,South,291.71,pending,2024-01-16,High
50488,570,Starter,North,146.35,completed,2024-01-16,High
50489,26,SMB,South,24.53,shipped,2024-01-16,High
50490,676,Enterprise,South,174.81,completed,2024-01-16,High
50491,463,SMB,South,16.24,completed,2024-01-16,High
